,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2019-03-13,Boston,0.676,0.667,1.000,0.701,0.652,0.566
1,2019-03-13,Houston,0.629,0.000,0.000,0.558,0.702,0.622
2,2019-03-13,NY Yankees,0.611,0.333,0.000,0.643,0.578,0.560
3,2019-03-13,Oakland,0.595,0.333,0.000,0.617,0.573,0.463
4,2019-03-13,Milwaukee,0.590,0.333,0.000,0.632,0.547,0.531
5,2019-03-13,Chi Cubs,0.579,0.333,0.000,0.615,0.543,0.558
6,2019-03-13,LA Dodgers,0.559,0.333,0.000,0.556,0.562,0.644
7,2019-03-13,Tampa Bay,0.556,0.667,1.000,0.630,0.482,0.494
8,2019-03-13,Cleveland,0.552,0.000,0.000,0.598,0.506,0.623
9,2019-03-13,Colorado,0.551,0.000,0.000,0.573,0.529,0.534
10,2019-03-13,Seattle,0.549,1.000,1.000,0.556,0.543,0.482
11,2019-03-13,Atlanta,0.548,0.333,0.000,0.530,0.566,0.444
12,2019-03-13,St. Louis,0.543,0.333,0.000,0.531,0.556,0.512
13,2019-03-13,Pittsburgh,0.509,0.667,1.000,0.550,0.469,0.463
14,2019-03-13,Arizona,0.506,0.333,0.000,0.494,0.519,0.566
15,2019-03-13,Washington,0.506,0.333,0.000,0.506,0.506,0.593
16,2019-03-13,LA Angels,0.494,0.667,1.000,0.519,0.469,0.494
17,2019-03-13,Philadelphia,0.494,0.667,1.000,0.613,0.378,0.407
18,2019-03-13,Minnesota,0.482,1.000,1.000,0.608,0.361,0.522
19,2019-03-13,NY Mets,0.475,0.667,1.000,0.457,0.494,0.432
20,2019-03-13,Toronto,0.451,0.333,0.000,0.494,0.407,0.469
21,2019-03-13,SF Giants,0.451,0.000,0.000,0.519,0.383,0.395
22,2019-03-13,Texas,0.414,0.000,0.000,0.420,0.407,0.482
23,2019-03-13,Cincinnati,0.414,0.333,0.000,0.457,0.370,0.420
24,2019-03-13,San Diego,0.407,0.667,1.000,0.372,0.441,0.438
25,2019-03-13,Detroit,0.395,0.000,0.000,0.469,0.321,0.395
26,2019-03-13,Miami,0.391,0.333,0.000,0.469,0.313,0.475
27,2019-03-13,Chi Sox,0.383,0.000,0.000,0.370,0.395,0.414
28,2019-03-13,Kansas City,0.358,0.333,0.000,0.395,0.321,0.494
29,2019-03-13,Baltimore,0.290,0.333,1.000,0.346,0.235,0.463
30,2019-03-14,Boston,0.676,0.667,1.000,0.701,0.652,0.566
31,2019-03-14,Houston,0.629,0.000,0.000,0.558,0.702,0.622
32,2019-03-14,NY Yankees,0.611,0.333,0.000,0.643,0.578,0.560
33,2019-03-14,Oakland,0.595,0.333,0.000,0.617,0.573,0.463
34,2019-03-14,Milwaukee,0.590,0.333,0.000,0.632,0.547,0.531
35,2019-03-14,Chi Cubs,0.579,0.333,0.000,0.615,0.543,0.558
36,2019-03-14,LA Dodgers,0.559,0.333,0.000,0.556,0.562,0.644
37,2019-03-14,Tampa Bay,0.556,0.667,1.000,0.630,0.482,0.494
38,2019-03-14,Cleveland,0.552,0.000,0.000,0.598,0.506,0.623
39,2019-03-14,Colorado,0.551,0.000,0.000,0.573,0.529,0.534
40,2019-03-14,Seattle,0.549,1.000,1.000,0.556,0.543,0.482
41,2019-03-14,Atlanta,0.548,0.333,0.000,0.530,0.566,0.444
42,2019-03-14,St. Louis,0.543,0.333,0.000,0.531,0.556,0.512
43,2019-03-14,Pittsburgh,0.509,0.667,1.000,0.550,0.469,0.463
44,2019-03-14,Arizona,0.506,0.333,0.000,0.494,0.519,0.566
45,2019-03-14,Washington,0.506,0.333,0.000,0.506,0.506,0.593
46,2019-03-14,LA Angels,0.494,0.667,1.000,0.519,0.469,0.494
47,2019-03-14,Philadelphia,0.494,0.667,1.000,0.613,0.378,0.407
48,2019-03-14,Minnesota,0.482,1.000,1.000,0.608,0.361,0.522
49,2019-03-14,NY Mets,0.475,0.667,1.000,0.457,0.494,0.432
50,2019-03-14,Toronto,0.451,0.333,0.000,0.494,0.407,0.469
51,2019-03-14,SF Giants,0.451,0.000,0.000,0.519,0.383,0.395
52,2019-03-14,Texas,0.414,0.000,0.000,0.420,0.407,0.482
53,2019-03-14,Cincinnati,0.414,0.333,0.000,0.457,0.370,0.420
54,2019-03-14,San Diego,0.407,0.667,1.000,0.372,0.441,0.438
55,2019-03-14,Detroit,0.395,0.000,0.000,0.469,0.321,0.395
56,2019-03-14,Miami,0.391,0.333,0.000,0.469,0.313,0.475
57,2019-03-14,Chi Sox,0.383,0.000,0.000,0.370,0.395,0.414
58,2019-03-14,Kansas City,0.358,0.333,0.000,0.395,0.321,0.494
59,2019-03-14,Baltimore,0.290,0.333,1.000,0.346,0.235,0.463
60,2019-03-15,Boston,0.676,0.667,1.000,0.701,0.652,0.566
61,2019-03-15,Houston,0.629,0.000,0.000,0.558,0.702,0.622
62,2019-03-15,NY Yankees,0.611,0.333,0.000,0.643,0.578,0.560
63,2019-03-15,Oakland,0.595,0.333,0.000,0.617,0.573,0.463
64,2019-03-15,Milwaukee,0.590,0.333,0.000,0.632,0.547,0.531
65,2019-03-15,Chi Cubs,0.579,0.333,0.000,0.615,0.543,0.558
66,2019-03-15,LA Dodgers,0.559,0.333,0.000,0.556,0.562,0.644
67,2019-03-15,Tampa Bay,0.556,0.667,1.000,0.630,0.482,0.494
68,2019-03-15,Cleveland,0.552,0.000,0.000,0.598,0.506,0.623
69,2019-03-15,Colorado,0.551,0.000,0.000,0.573,0.529,0.534
70,2019-03-15,Seattle,0.549,1.000,1.000,0.556,0.543,0.482
71,2019-03-15,Atlanta,0.548,0.333,0.000,0.530,0.566,0.444
72,2019-03-15,St. Louis,0.543,0.333,0.000,0.531,0.556,0.512
73,2019-03-15,Pittsburgh,0.509,0.667,1.000,0.550,0.469,0.463
74,2019-03-15,Arizona,0.506,0.333,0.000,0.494,0.519,0.566
75,2019-03-15,Washington,0.506,0.333,0.000,0.506,0.506,0.593
76,2019-03-15,LA Angels,0.494,0.667,1.000,0.519,0.469,0.494
77,2019-03-15,Philadelphia,0.494,0.667,1.000,0.613,0.378,0.407
78,2019-03-15,Minnesota,0.482,1.000,1.000,0.608,0.361,0.522
79,2019-03-15,NY Mets,0.475,0.667,1.000,0.457,0.494,0.432
80,2019-03-15,Toronto,0.451,0.333,0.000,0.494,0.407,0.469
81,2019-03-15,SF Giants,0.451,0.000,0.000,0.519,0.383,0.395
82,2019-03-15,Cincinnati,0.414,0.333,0.000,0.457,0.370,0.420
83,2019-03-15,Texas,0.414,0.000,0.000,0.420,0.407,0.482
84,2019-03-15,San Diego,0.407,0.667,1.000,0.372,0.441,0.438
85,2019-03-15,Detroit,0.395,0.000,0.000,0.469,0.321,0.395
86,2019-03-15,Miami,0.391,0.333,0.000,0.469,0.313,0.475
87,2019-03-15,Chi Sox,0.383,0.000,0.000,0.370,0.395,0.414
88,2019-03-15,Kansas City,0.358,0.333,0.000,0.395,0.321,0.494
89,2019-03-15,Baltimore,0.290,0.333,1.000,0.346,0.235,0.463
90,2019-03-16,Boston,0.676,0.667,1.000,0.701,0.652,0.566
