,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2021-03-13,LA Dodgers,0.718,0.667,1.000,0.719,0.717,0.647
1,2021-03-13,Tampa Bay,0.638,0.333,0.000,0.710,0.592,0.589
2,2021-03-13,Atlanta,0.597,0.000,0.000,0.656,0.550,0.593
3,2021-03-13,San Diego,0.591,0.000,0.000,0.657,0.516,0.432
4,2021-03-13,Oakland,0.582,0.333,0.000,0.686,0.469,0.595
5,2021-03-13,Minnesota,0.581,0.000,0.000,0.727,0.414,0.612
6,2021-03-13,Chi Sox,0.571,0.333,0.000,0.600,0.546,0.447
7,2021-03-13,Cleveland,0.565,0.333,0.000,0.563,0.567,0.574
8,2021-03-13,NY Yankees,0.552,0.333,0.000,0.677,0.444,0.632
9,2021-03-13,Chi Cubs,0.548,0.333,0.000,0.515,0.586,0.519
10,2021-03-13,Toronto,0.516,0.000,0.000,0.654,0.417,0.414
11,2021-03-13,St. Louis,0.508,0.333,0.000,0.500,0.514,0.550
12,2021-03-13,Miami,0.508,0.000,0.000,0.483,0.528,0.352
13,2021-03-13,Houston,0.507,0.667,0.000,0.714,0.378,0.650
14,2021-03-13,Cincinnati,0.500,0.333,0.000,0.552,0.455,0.463
15,2021-03-13,SF Giants,0.483,0.000,0.000,0.576,0.370,0.475
16,2021-03-13,Milwaukee,0.468,0.000,0.000,0.500,0.438,0.546
17,2021-03-13,Philadelphia,0.467,0.000,0.000,0.581,0.345,0.500
18,2021-03-13,Seattle,0.450,0.667,0.000,0.583,0.361,0.420
19,2021-03-13,LA Angels,0.433,0.000,0.000,0.516,0.345,0.444
20,2021-03-13,Washington,0.433,1.000,1.000,0.433,0.433,0.587
21,2021-03-13,Kansas City,0.433,0.667,1.000,0.500,0.367,0.364
22,2021-03-13,NY Mets,0.433,0.000,0.000,0.414,0.452,0.531
23,2021-03-13,Colorado,0.433,0.333,0.000,0.400,0.467,0.438
24,2021-03-13,Baltimore,0.417,0.333,1.000,0.419,0.414,0.333
25,2021-03-13,Arizona,0.417,0.667,1.000,0.533,0.300,0.525
26,2021-03-13,Boston,0.400,0.667,1.000,0.355,0.448,0.519
27,2021-03-13,Detroit,0.397,0.333,0.000,0.444,0.355,0.292
28,2021-03-13,Texas,0.367,1.000,1.000,0.533,0.200,0.482
29,2021-03-13,Pittsburgh,0.317,0.333,0.000,0.406,0.214,0.426
30,2021-03-14,LA Dodgers,0.718,0.667,1.000,0.719,0.717,0.647
31,2021-03-14,Tampa Bay,0.638,0.333,0.000,0.710,0.592,0.589
32,2021-03-14,Atlanta,0.597,0.000,0.000,0.656,0.550,0.593
33,2021-03-14,San Diego,0.591,0.000,0.000,0.657,0.516,0.432
34,2021-03-14,Oakland,0.582,0.333,0.000,0.686,0.469,0.595
35,2021-03-14,Minnesota,0.581,0.000,0.000,0.727,0.414,0.612
36,2021-03-14,Chi Sox,0.571,0.333,0.000,0.600,0.546,0.447
37,2021-03-14,Cleveland,0.565,0.333,0.000,0.563,0.567,0.574
38,2021-03-14,NY Yankees,0.552,0.333,0.000,0.677,0.444,0.632
39,2021-03-14,Chi Cubs,0.548,0.333,0.000,0.515,0.586,0.519
40,2021-03-14,Toronto,0.516,0.000,0.000,0.654,0.417,0.414
41,2021-03-14,St. Louis,0.508,0.333,0.000,0.500,0.514,0.550
42,2021-03-14,Miami,0.508,0.000,0.000,0.483,0.528,0.352
43,2021-03-14,Houston,0.507,0.667,0.000,0.714,0.378,0.650
44,2021-03-14,Cincinnati,0.500,0.333,0.000,0.552,0.455,0.463
45,2021-03-14,SF Giants,0.483,0.000,0.000,0.576,0.370,0.475
46,2021-03-14,Milwaukee,0.468,0.000,0.000,0.500,0.438,0.546
47,2021-03-14,Philadelphia,0.467,0.000,0.000,0.581,0.345,0.500
48,2021-03-14,Seattle,0.450,0.667,0.000,0.583,0.361,0.420
49,2021-03-14,NY Mets,0.433,0.000,0.000,0.414,0.452,0.531
50,2021-03-14,Colorado,0.433,0.333,0.000,0.400,0.467,0.438
51,2021-03-14,LA Angels,0.433,0.000,0.000,0.516,0.345,0.444
52,2021-03-14,Washington,0.433,1.000,1.000,0.433,0.433,0.587
