,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2018-03-13,LA Dodgers,0.644,0.333,0.000,0.708,0.580,0.555
1,2018-03-13,Cleveland,0.623,0.000,0.000,0.607,0.639,0.591
2,2018-03-13,Houston,0.622,0.667,1.000,0.632,0.613,0.519
3,2018-03-13,Washington,0.593,0.333,0.000,0.571,0.615,0.581
4,2018-03-13,Arizona,0.566,0.000,0.000,0.639,0.494,0.426
5,2018-03-13,Boston,0.566,0.333,0.000,0.590,0.542,0.564
6,2018-03-13,NY Yankees,0.560,0.333,0.000,0.655,0.466,0.519
7,2018-03-13,Chi Cubs,0.558,0.333,0.000,0.581,0.535,0.637
8,2018-03-13,Colorado,0.534,0.000,0.000,0.568,0.500,0.463
9,2018-03-13,Milwaukee,0.531,0.667,1.000,0.543,0.519,0.451
10,2018-03-13,Minnesota,0.522,0.333,0.000,0.506,0.537,0.364
11,2018-03-13,St. Louis,0.512,0.333,0.000,0.543,0.482,0.531
12,2018-03-13,Kansas City,0.494,0.667,0.000,0.531,0.457,0.500
13,2018-03-13,Tampa Bay,0.494,1.000,1.000,0.526,0.464,0.420
14,2018-03-13,LA Angels,0.494,0.667,1.000,0.531,0.457,0.457
15,2018-03-13,Texas,0.482,0.667,0.000,0.506,0.457,0.576
16,2018-03-13,Seattle,0.482,0.333,0.000,0.494,0.469,0.531
17,2018-03-13,Miami,0.475,0.667,0.000,0.539,0.417,0.491
18,2018-03-13,Toronto,0.469,0.333,1.000,0.519,0.420,0.550
19,2018-03-13,Pittsburgh,0.463,0.667,1.000,0.543,0.383,0.482
20,2018-03-13,Oakland,0.463,0.333,1.000,0.568,0.358,0.426
21,2018-03-13,Baltimore,0.463,0.000,0.000,0.568,0.358,0.546
22,2018-03-13,Atlanta,0.444,0.333,1.000,0.457,0.432,0.422
23,2018-03-13,San Diego,0.438,0.333,0.000,0.531,0.346,0.420
24,2018-03-13,NY Mets,0.432,0.333,0.000,0.457,0.407,0.534
25,2018-03-13,Cincinnati,0.420,0.333,1.000,0.482,0.358,0.420
26,2018-03-13,Chi Sox,0.414,0.333,0.000,0.482,0.346,0.482
27,2018-03-13,Philadelphia,0.407,0.667,1.000,0.482,0.333,0.438
28,2018-03-13,SF Giants,0.395,0.667,1.000,0.469,0.321,0.533
29,2018-03-13,Detroit,0.395,0.333,0.000,0.420,0.370,0.534
30,2018-03-14,LA Dodgers,0.644,0.333,0.000,0.708,0.580,0.555
31,2018-03-14,Cleveland,0.623,0.000,0.000,0.607,0.639,0.591
32,2018-03-14,Houston,0.622,0.667,1.000,0.632,0.613,0.519
33,2018-03-14,Washington,0.593,0.333,0.000,0.571,0.615,0.581
