,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2017-03-13,Chi Cubs,0.637,1.000,1.000,0.697,0.578,0.591
1,2017-03-13,Cleveland,0.591,0.000,0.000,0.652,0.529,0.503
2,2017-03-13,Washington,0.581,0.333,0.000,0.607,0.554,0.512
3,2017-03-13,Texas,0.576,0.000,0.000,0.639,0.512,0.539
4,2017-03-13,Boston,0.564,0.000,0.000,0.573,0.554,0.482
5,2017-03-13,LA Dodgers,0.555,0.000,0.000,0.640,0.471,0.563
6,2017-03-13,Toronto,0.550,0.333,0.000,0.570,0.529,0.567
7,2017-03-13,Baltimore,0.546,0.333,0.000,0.617,0.476,0.500
8,2017-03-13,Detroit,0.534,0.333,0.000,0.563,0.506,0.460
9,2017-03-13,NY Mets,0.534,0.333,0.000,0.537,0.531,0.557
10,2017-03-13,SF Giants,0.533,0.333,0.000,0.554,0.512,0.519
11,2017-03-13,Seattle,0.531,0.333,0.000,0.543,0.519,0.469
12,2017-03-13,St. Louis,0.531,1.000,1.000,0.469,0.593,0.608
13,2017-03-13,NY Yankees,0.519,0.333,0.000,0.593,0.444,0.534
14,2017-03-13,Houston,0.519,0.333,0.000,0.531,0.506,0.530
15,2017-03-13,Kansas City,0.500,0.000,0.000,0.580,0.420,0.596
16,2017-03-13,Miami,0.491,0.333,0.000,0.500,0.482,0.438
17,2017-03-13,Pittsburgh,0.482,0.000,0.000,0.469,0.494,0.601
18,2017-03-13,Chi Sox,0.482,0.333,0.000,0.556,0.407,0.469
19,2017-03-13,Colorado,0.463,0.333,0.000,0.519,0.407,0.420
20,2017-03-13,LA Angels,0.457,0.667,1.000,0.494,0.420,0.525
21,2017-03-13,Milwaukee,0.451,0.667,1.000,0.506,0.395,0.420
22,2017-03-13,Philadelphia,0.438,0.333,1.000,0.457,0.420,0.389
23,2017-03-13,Arizona,0.426,1.000,1.000,0.407,0.444,0.488
24,2017-03-13,Oakland,0.426,0.667,1.000,0.420,0.432,0.420
25,2017-03-13,Atlanta,0.422,0.667,1.000,0.388,0.457,0.414
26,2017-03-13,Tampa Bay,0.420,0.667,1.000,0.444,0.395,0.494
