,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2012-03-13,Philadelphia,0.623,0.333,0.000,0.631,0.615,0.597
1,2012-03-13,Texas,0.596,0.667,0.000,0.652,0.539,0.551
2,2012-03-13,NY Yankees,0.593,0.333,0.000,0.631,0.554,0.585
3,2012-03-13,Milwaukee,0.584,0.333,0.000,0.701,0.465,0.475
4,2012-03-13,Detroit,0.578,0.333,0.000,0.616,0.540,0.500
5,2012-03-13,Arizona,0.575,0.667,0.000,0.639,0.512,0.401
6,2012-03-13,St. Louis,0.559,0.333,1.000,0.562,0.556,0.531
7,2012-03-13,Boston,0.556,0.333,0.000,0.556,0.556,0.549
8,2012-03-13,Tampa Bay,0.554,0.000,0.000,0.566,0.542,0.587
9,2012-03-13,Atlanta,0.549,0.000,0.000,0.580,0.519,0.554
10,2012-03-13,LA Angels,0.531,0.000,0.000,0.556,0.506,0.494
11,2012-03-13,SF Giants,0.531,0.667,0.000,0.568,0.494,0.582
12,2012-03-13,LA Dodgers,0.509,0.667,1.000,0.519,0.500,0.494
13,2012-03-13,Toronto,0.500,0.333,1.000,0.519,0.482,0.525
14,2012-03-13,Washington,0.497,0.667,1.000,0.550,0.444,0.426
15,2012-03-13,Cleveland,0.494,0.000,0.000,0.543,0.444,0.426
16,2012-03-13,Chi Sox,0.488,0.667,0.000,0.444,0.531,0.543
17,2012-03-13,Cincinnati,0.488,0.667,0.000,0.519,0.457,0.552
18,2012-03-13,NY Mets,0.475,0.333,1.000,0.420,0.531,0.488
19,2012-03-13,Oakland,0.457,0.667,1.000,0.531,0.383,0.500
20,2012-03-13,Colorado,0.451,0.333,1.000,0.469,0.432,0.512
21,2012-03-13,Pittsburgh,0.444,0.333,0.000,0.444,0.444,0.352
22,2012-03-13,Miami,0.442,0.250,0.000,0.390,0.494,0.494
23,2012-03-13,Chi Cubs,0.438,0.333,0.000,0.482,0.395,0.463
24,2012-03-13,Kansas City,0.438,0.333,0.000,0.494,0.383,0.414
25,2012-03-13,San Diego,0.438,0.667,1.000,0.432,0.444,0.556
26,2012-03-13,Baltimore,0.426,0.667,1.000,0.482,0.370,0.407
27,2012-03-13,Seattle,0.414,0.333,0.000,0.457,0.370,0.377
28,2012-03-13,Minnesota,0.389,0.667,1.000,0.407,0.370,0.570
29,2012-03-13,Houston,0.346,0.333,0.000,0.383,0.309,0.469
30,2012-03-14,Philadelphia,0.623,0.333,0.000,0.631,0.615,0.597
31,2012-03-14,Texas,0.596,0.667,0.000,0.652,0.539,0.551
