,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2013-03-13,Washington,0.599,0.333,0.000,0.607,0.590,0.497
1,2013-03-13,Cincinnati,0.593,0.000,0.000,0.595,0.590,0.488
2,2013-03-13,SF Giants,0.588,1.000,1.000,0.596,0.580,0.531
3,2013-03-13,Atlanta,0.577,0.333,0.000,0.585,0.568,0.549
4,2013-03-13,Oakland,0.575,0.667,0.000,0.627,0.524,0.457
5,2013-03-13,NY Yankees,0.573,0.000,0.000,0.616,0.529,0.593
6,2013-03-13,Baltimore,0.571,0.333,0.000,0.578,0.565,0.426
7,2013-03-13,Texas,0.571,0.000,0.000,0.610,0.531,0.592
8,2013-03-13,Tampa Bay,0.556,0.667,1.000,0.568,0.543,0.554
9,2013-03-13,LA Angels,0.549,0.333,0.000,0.568,0.531,0.531
10,2013-03-13,Detroit,0.546,0.000,0.000,0.628,0.466,0.578
11,2013-03-13,St. Louis,0.543,0.000,0.000,0.616,0.472,0.561
12,2013-03-13,LA Dodgers,0.531,0.667,1.000,0.556,0.506,0.509
13,2013-03-13,Chi Sox,0.525,0.667,1.000,0.556,0.494,0.488
14,2013-03-13,Milwaukee,0.512,0.667,0.000,0.605,0.420,0.584
15,2013-03-13,Philadelphia,0.500,0.333,0.000,0.494,0.506,0.623
16,2013-03-13,Arizona,0.500,0.333,0.000,0.506,0.494,0.575
17,2013-03-13,Pittsburgh,0.488,0.667,0.000,0.556,0.420,0.444
18,2013-03-13,San Diego,0.469,0.333,1.000,0.519,0.420,0.438
19,2013-03-13,Seattle,0.463,0.667,1.000,0.494,0.432,0.414
20,2013-03-13,NY Mets,0.457,0.333,1.000,0.444,0.469,0.475
21,2013-03-13,Toronto,0.451,1.000,1.000,0.506,0.395,0.500
22,2013-03-13,Kansas City,0.444,0.333,0.000,0.457,0.432,0.438
23,2013-03-13,Boston,0.426,0.000,0.000,0.420,0.432,0.556
24,2013-03-13,Miami,0.426,0.667,0.000,0.469,0.383,0.442
25,2013-03-13,Cleveland,0.420,0.333,0.000,0.457,0.383,0.494
26,2013-03-13,Minnesota,0.407,0.000,0.000,0.383,0.432,0.389
27,2013-03-13,Colorado,0.395,0.667,1.000,0.432,0.358,0.451
28,2013-03-13,Chi Cubs,0.377,0.333,1.000,0.469,0.284,0.438
29,2013-03-13,Houston,0.340,0.667,0.000,0.432,0.247,0.346
30,2013-03-14,Washington,0.599,0.333,0.000,0.607,0.590,0.497
31,2013-03-14,Cincinnati,0.593,0.000,0.000,0.595,0.590,0.488
32,2013-03-14,SF Giants,0.588,1.000,1.000,0.596,0.580,0.531
33,2013-03-14,Atlanta,0.577,0.333,0.000,0.585,0.568,0.549
34,2013-03-14,Oakland,0.575,0.667,0.000,0.627,0.524,0.457
