,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2015-09-13,St. Louis,0.620,0.000,0.000,0.676,0.559,0.550
1,2015-09-13,Pittsburgh,0.603,0.667,1.000,0.686,0.521,0.540
2,2015-09-13,Kansas City,0.596,0.333,1.000,0.640,0.546,0.565
3,2015-09-13,Chi Cubs,0.582,0.667,0.000,0.606,0.557,0.451
4,2015-09-13,Toronto,0.578,1.000,1.000,0.653,0.500,0.512
5,2015-09-13,LA Dodgers,0.575,0.333,1.000,0.691,0.466,0.572
6,2015-09-13,NY Mets,0.570,1.000,1.000,0.652,0.493,0.488
7,2015-09-13,NY Yankees,0.546,0.000,0.000,0.556,0.536,0.519
8,2015-09-13,Houston,0.535,0.333,0.000,0.667,0.400,0.432
9,2015-09-13,Texas,0.525,0.333,0.000,0.500,0.547,0.414
10,2015-09-13,SF Giants,0.521,0.667,1.000,0.597,0.453,0.559
11,2015-09-13,Minnesota,0.518,0.667,0.000,0.618,0.425,0.432
12,2015-09-13,LA Angels,0.511,1.000,1.000,0.595,0.418,0.594
13,2015-09-13,Washington,0.504,0.000,0.000,0.586,0.423,0.584
14,2015-09-13,Cleveland,0.496,0.667,1.000,0.469,0.520,0.525
15,2015-09-13,Tampa Bay,0.489,0.667,0.000,0.493,0.487,0.475
16,2015-09-13,Seattle,0.483,0.667,1.000,0.451,0.514,0.537
17,2015-09-13,Baltimore,0.482,0.667,0.000,0.582,0.392,0.586
18,2015-09-13,Arizona,0.479,0.667,0.000,0.479,0.479,0.395
19,2015-09-13,Chi Sox,0.479,0.333,1.000,0.500,0.457,0.451
20,2015-09-13,Boston,0.475,0.667,1.000,0.527,0.418,0.438
21,2015-09-13,San Diego,0.469,0.000,0.000,0.486,0.451,0.475
22,2015-09-13,Detroit,0.457,0.333,0.000,0.465,0.449,0.546
23,2015-09-13,Milwaukee,0.437,0.333,0.000,0.458,0.414,0.506
24,2015-09-13,Oakland,0.430,0.333,1.000,0.440,0.418,0.540
25,2015-09-13,Miami,0.430,1.000,1.000,0.487,0.368,0.475
26,2015-09-13,Cincinnati,0.426,1.000,1.000,0.466,0.382,0.469
27,2015-09-13,Colorado,0.416,0.667,0.000,0.437,0.394,0.407
28,2015-09-13,Atlanta,0.392,0.000,0.000,0.485,0.307,0.488
29,2015-09-13,Philadelphia,0.385,0.333,1.000,0.451,0.319,0.451
30,2015-09-14,St. Louis,0.622,0.333,1.000,0.676,0.565,0.550
31,2015-09-14,Pittsburgh,0.606,1.000,1.000,0.690,0.521,0.540
32,2015-09-14,Kansas City,0.592,0.333,0.000,0.640,0.537,0.565
33,2015-09-14,Chi Cubs,0.578,0.333,0.000,0.606,0.549,0.451
34,2015-09-14,LA Dodgers,0.578,0.667,1.000,0.691,0.473,0.572
35,2015-09-14,NY Mets,0.573,1.000,1.000,0.652,0.500,0.488
36,2015-09-14,Toronto,0.573,0.667,0.000,0.653,0.493,0.512
37,2015-09-14,NY Yankees,0.549,0.333,1.000,0.562,0.536,0.519
38,2015-09-14,Houston,0.539,0.333,1.000,0.667,0.409,0.432
39,2015-09-14,Texas,0.528,0.667,1.000,0.508,0.547,0.414
40,2015-09-14,SF Giants,0.525,1.000,1.000,0.603,0.453,0.559
41,2015-09-14,Minnesota,0.521,0.667,1.000,0.618,0.432,0.432
42,2015-09-14,LA Angels,0.507,0.667,0.000,0.587,0.418,0.594
43,2015-09-14,Washington,0.507,0.333,1.000,0.586,0.431,0.584
44,2015-09-14,Cleveland,0.497,0.667,0.000,0.470,0.520,0.525
45,2015-09-14,Baltimore,0.486,0.667,1.000,0.588,0.392,0.586
46,2015-09-14,Tampa Bay,0.486,0.333,0.000,0.485,0.487,0.475
47,2015-09-14,Seattle,0.479,0.333,0.000,0.444,0.514,0.537
48,2015-09-14,Boston,0.479,0.667,1.000,0.527,0.427,0.438
49,2015-09-14,Arizona,0.476,0.333,0.000,0.472,0.479,0.395
50,2015-09-14,Chi Sox,0.475,0.333,0.000,0.493,0.457,0.451
51,2015-09-14,San Diego,0.465,0.000,0.000,0.486,0.444,0.475
52,2015-09-14,Detroit,0.458,0.333,1.000,0.465,0.451,0.546
53,2015-09-14,Milwaukee,0.434,0.000,0.000,0.458,0.409,0.506
54,2015-09-14,Oakland,0.427,0.333,0.000,0.440,0.412,0.540
55,2015-09-14,Miami,0.427,0.667,0.000,0.480,0.368,0.475
56,2015-09-14,Cincinnati,0.423,0.667,0.000,0.460,0.382,0.469
57,2015-09-14,Colorado,0.420,0.667,1.000,0.437,0.403,0.407
58,2015-09-14,Philadelphia,0.389,0.667,1.000,0.458,0.319,0.451
59,2015-09-14,Atlanta,0.389,0.000,0.000,0.478,0.307,0.488
60,2015-09-15,St. Louis,0.622,0.333,1.000,0.676,0.565,0.550
61,2015-09-15,Pittsburgh,0.606,1.000,1.000,0.690,0.521,0.540
62,2015-09-15,Kansas City,0.587,0.333,0.000,0.640,0.529,0.565
63,2015-09-15,LA Dodgers,0.580,1.000,1.000,0.696,0.473,0.572
64,2015-09-15,Chi Cubs,0.578,0.333,0.000,0.606,0.549,0.451
65,2015-09-15,NY Mets,0.576,1.000,1.000,0.657,0.500,0.488
66,2015-09-15,Toronto,0.573,0.667,0.000,0.653,0.493,0.512
67,2015-09-15,NY Yankees,0.552,0.667,1.000,0.562,0.543,0.519
