,Date,Team,Current,Last 3,Last 1,Home,Away,Previous
0,2014-03-13,Boston,0.605,0.667,1.000,0.659,0.551,0.426
1,2014-03-13,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
2,2014-03-13,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
3,2014-03-13,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
4,2014-03-13,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
5,2014-03-13,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
6,2014-03-13,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
7,2014-03-13,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
8,2014-03-13,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
9,2014-03-13,Texas,0.558,0.667,0.000,0.561,0.556,0.571
10,2014-03-13,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
11,2014-03-13,Washington,0.531,0.667,0.000,0.580,0.482,0.599
12,2014-03-13,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
13,2014-03-13,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
14,2014-03-13,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
15,2014-03-13,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
16,2014-03-13,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
17,2014-03-13,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
18,2014-03-13,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
19,2014-03-13,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
20,2014-03-13,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
21,2014-03-13,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
22,2014-03-13,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
23,2014-03-13,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
24,2014-03-13,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
25,2014-03-13,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
26,2014-03-13,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
27,2014-03-13,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
28,2014-03-13,Miami,0.383,1.000,1.000,0.444,0.321,0.426
29,2014-03-13,Houston,0.315,0.000,0.000,0.296,0.333,0.340
30,2014-03-14,Boston,0.605,0.667,1.000,0.659,0.551,0.426
31,2014-03-14,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
32,2014-03-14,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
33,2014-03-14,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
34,2014-03-14,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
35,2014-03-14,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
36,2014-03-14,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
37,2014-03-14,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
38,2014-03-14,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
39,2014-03-14,Texas,0.558,0.667,0.000,0.561,0.556,0.571
40,2014-03-14,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
41,2014-03-14,Washington,0.531,0.667,0.000,0.580,0.482,0.599
42,2014-03-14,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
43,2014-03-14,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
44,2014-03-14,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
45,2014-03-14,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
46,2014-03-14,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
47,2014-03-14,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
48,2014-03-14,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
49,2014-03-14,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
50,2014-03-14,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
51,2014-03-14,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
52,2014-03-14,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
53,2014-03-14,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
54,2014-03-14,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
55,2014-03-14,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
56,2014-03-14,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
57,2014-03-14,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
58,2014-03-14,Miami,0.383,1.000,1.000,0.444,0.321,0.426
59,2014-03-14,Houston,0.315,0.000,0.000,0.296,0.333,0.340
60,2014-03-15,Boston,0.605,0.667,1.000,0.659,0.551,0.426
61,2014-03-15,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
62,2014-03-15,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
63,2014-03-15,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
64,2014-03-15,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
65,2014-03-15,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
66,2014-03-15,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
67,2014-03-15,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
68,2014-03-15,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
69,2014-03-15,Texas,0.558,0.667,0.000,0.561,0.556,0.571
70,2014-03-15,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
71,2014-03-15,Washington,0.531,0.667,0.000,0.580,0.482,0.599
72,2014-03-15,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
73,2014-03-15,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
74,2014-03-15,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
75,2014-03-15,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
76,2014-03-15,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
77,2014-03-15,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
78,2014-03-15,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
79,2014-03-15,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
80,2014-03-15,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
81,2014-03-15,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
82,2014-03-15,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
83,2014-03-15,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
84,2014-03-15,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
85,2014-03-15,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
86,2014-03-15,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
87,2014-03-15,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
88,2014-03-15,Miami,0.383,1.000,1.000,0.444,0.321,0.426
89,2014-03-15,Houston,0.315,0.000,0.000,0.296,0.333,0.340
90,2014-03-16,Boston,0.605,0.667,1.000,0.659,0.551,0.426
91,2014-03-16,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
92,2014-03-16,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
93,2014-03-16,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
94,2014-03-16,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
95,2014-03-16,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
96,2014-03-16,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
97,2014-03-16,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
98,2014-03-16,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
99,2014-03-16,Texas,0.558,0.667,0.000,0.561,0.556,0.571
100,2014-03-16,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
101,2014-03-16,Washington,0.531,0.667,0.000,0.580,0.482,0.599
102,2014-03-16,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
103,2014-03-16,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
104,2014-03-16,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
105,2014-03-16,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
106,2014-03-16,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
107,2014-03-16,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
108,2014-03-16,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
109,2014-03-16,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
110,2014-03-16,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
111,2014-03-16,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
112,2014-03-16,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
113,2014-03-16,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
114,2014-03-16,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
115,2014-03-16,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
116,2014-03-16,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
117,2014-03-16,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
118,2014-03-16,Miami,0.383,1.000,1.000,0.444,0.321,0.426
119,2014-03-16,Houston,0.315,0.000,0.000,0.296,0.333,0.340
120,2014-03-17,Boston,0.605,0.667,1.000,0.659,0.551,0.426
121,2014-03-17,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
122,2014-03-17,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
123,2014-03-17,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
124,2014-03-17,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
125,2014-03-17,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
126,2014-03-17,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
127,2014-03-17,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
128,2014-03-17,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
129,2014-03-17,Texas,0.558,0.667,0.000,0.561,0.556,0.571
130,2014-03-17,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
131,2014-03-17,Washington,0.531,0.667,0.000,0.580,0.482,0.599
132,2014-03-17,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
133,2014-03-17,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
134,2014-03-17,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
135,2014-03-17,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
136,2014-03-17,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
137,2014-03-17,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
138,2014-03-17,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
139,2014-03-17,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
140,2014-03-17,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
141,2014-03-17,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
142,2014-03-17,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
143,2014-03-17,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
144,2014-03-17,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
145,2014-03-17,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
146,2014-03-17,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
147,2014-03-17,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
148,2014-03-17,Miami,0.383,1.000,1.000,0.444,0.321,0.426
149,2014-03-17,Houston,0.315,0.000,0.000,0.296,0.333,0.340
150,2014-03-18,Boston,0.605,0.667,1.000,0.659,0.551,0.426
151,2014-03-18,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
152,2014-03-18,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
153,2014-03-18,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
154,2014-03-18,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
155,2014-03-18,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
156,2014-03-18,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
157,2014-03-18,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
158,2014-03-18,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
159,2014-03-18,Texas,0.558,0.667,0.000,0.561,0.556,0.571
160,2014-03-18,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
161,2014-03-18,Washington,0.531,0.667,0.000,0.580,0.482,0.599
162,2014-03-18,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
163,2014-03-18,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
164,2014-03-18,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
165,2014-03-18,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
166,2014-03-18,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
167,2014-03-18,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
168,2014-03-18,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
169,2014-03-18,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
170,2014-03-18,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
171,2014-03-18,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
172,2014-03-18,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
173,2014-03-18,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
174,2014-03-18,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
175,2014-03-18,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
176,2014-03-18,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
177,2014-03-18,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
178,2014-03-18,Miami,0.383,1.000,1.000,0.444,0.321,0.426
179,2014-03-18,Houston,0.315,0.000,0.000,0.296,0.333,0.340
180,2014-03-19,Boston,0.605,0.667,1.000,0.659,0.551,0.426
181,2014-03-19,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
182,2014-03-19,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
183,2014-03-19,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
184,2014-03-19,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
185,2014-03-19,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
186,2014-03-19,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
187,2014-03-19,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
188,2014-03-19,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
189,2014-03-19,Texas,0.558,0.667,0.000,0.561,0.556,0.571
190,2014-03-19,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
191,2014-03-19,Washington,0.531,0.667,0.000,0.580,0.482,0.599
192,2014-03-19,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
193,2014-03-19,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
194,2014-03-19,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
195,2014-03-19,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
196,2014-03-19,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
197,2014-03-19,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
198,2014-03-19,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
199,2014-03-19,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
200,2014-03-19,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
201,2014-03-19,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
202,2014-03-19,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
203,2014-03-19,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
204,2014-03-19,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
205,2014-03-19,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
206,2014-03-19,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
207,2014-03-19,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
208,2014-03-19,Miami,0.383,1.000,1.000,0.444,0.321,0.426
209,2014-03-19,Houston,0.315,0.000,0.000,0.296,0.333,0.340
210,2014-03-20,Boston,0.605,0.667,1.000,0.659,0.551,0.426
211,2014-03-20,St. Louis,0.596,0.333,0.000,0.667,0.523,0.543
212,2014-03-20,Oakland,0.587,0.333,0.000,0.631,0.542,0.575
213,2014-03-20,Atlanta,0.584,0.333,0.000,0.687,0.482,0.577
214,2014-03-20,Pittsburgh,0.577,0.333,0.000,0.619,0.536,0.488
215,2014-03-20,Detroit,0.567,0.333,0.000,0.616,0.517,0.543
216,2014-03-20,Cleveland,0.564,0.667,0.000,0.622,0.506,0.420
217,2014-03-20,LA Dodgers,0.564,0.333,0.000,0.593,0.535,0.531
218,2014-03-20,Tampa Bay,0.560,0.333,0.000,0.627,0.494,0.556
219,2014-03-20,Texas,0.558,0.667,0.000,0.561,0.556,0.571
220,2014-03-20,Cincinnati,0.552,0.000,0.000,0.605,0.500,0.593
221,2014-03-20,Washington,0.531,0.667,0.000,0.580,0.482,0.599
222,2014-03-20,Kansas City,0.531,0.667,1.000,0.543,0.519,0.444
223,2014-03-20,Baltimore,0.525,0.667,1.000,0.568,0.482,0.571
224,2014-03-20,NY Yankees,0.525,1.000,1.000,0.568,0.482,0.573
225,2014-03-20,Arizona,0.500,0.333,1.000,0.556,0.444,0.500
226,2014-03-20,LA Angels,0.482,0.000,0.000,0.482,0.482,0.549
227,2014-03-20,San Diego,0.469,0.333,0.000,0.556,0.383,0.469
228,2014-03-20,SF Giants,0.469,0.667,1.000,0.506,0.432,0.590
229,2014-03-20,NY Mets,0.457,0.333,1.000,0.407,0.506,0.457
230,2014-03-20,Colorado,0.457,0.667,1.000,0.556,0.358,0.395
231,2014-03-20,Toronto,0.457,0.667,0.000,0.494,0.420,0.451
232,2014-03-20,Milwaukee,0.457,0.667,0.000,0.457,0.457,0.512
233,2014-03-20,Philadelphia,0.451,0.333,0.000,0.531,0.370,0.500
234,2014-03-20,Seattle,0.438,0.333,0.000,0.444,0.432,0.463
235,2014-03-20,Minnesota,0.407,0.000,0.000,0.395,0.420,0.407
236,2014-03-20,Chi Cubs,0.407,0.000,0.000,0.383,0.432,0.377
237,2014-03-20,Chi Sox,0.389,0.333,0.000,0.457,0.321,0.525
