,game_id,commence_time,game_type,home_team,away_team,season,home_R,away_R,home_RA,away_RA,home_is_winner,home_score,away_score,home_W-L%,away_W-L%,home_Luck,away_Luck,pinnacle_home,pinnacle_away,lowvig_home,lowvig_away,gtbets_home,gtbets_away,lowvig_home_prob,lowvig_away_prob,lowvig_vig,lowvig_home_vf,lowvig_away_vf
7841,06ec2187835d8728a2d7b2d263f404a8,2022-07-25T23:11:00Z,R,Boston Red Sox,Cleveland Guardians,2022,4.5,4.3,4.9,3.9,1,3,1,0.481,0.568,2,4,-101.0,-108.0,-105.0,-105.0,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5
7842,306a0556cd94c8231d9f616d8b217378,2022-07-25T23:10:00Z,R,Detroit Tigers,San Diego Padres,2022,3.4,4.4,4.4,4.1,1,12,4,0.407,0.549,3,3,146.0,-159.0,144.0,-156.0,144.0,-156.0,0.4098360655737705,0.609375,0.019211065573770503,0.40211108318673033,0.5978889168132696
7843,90e8d3bbd1c5f24bcb348464c14c6844,2022-07-26T00:06:00Z,R,Chicago Cubs,Pittsburgh Pirates,2022,4.1,3.6,4.5,5.0,1,3,2,0.457,0.383,1,4,-139.0,127.0,-143.0,131.0,-143.0,130.0,0.588477366255144,0.4329004329004329,0.021377799155577026,0.5761603265135262,0.4238396734864737
7844,f37c4944c70807c537cd9bc2f847f500,2022-07-26T18:21:00Z,R,Chicago Cubs,Pittsburgh Pirates,2022,4.1,3.6,4.5,5.0,1,3,2,0.457,0.383,1,4,-175.0,160.0,-175.0,161.0,-175.0,160.0,0.6363636363636364,0.3831417624521073,0.019505398815743646,0.624188588998975,0.37581141100102494
7845,bf8dc6cdbc7d57d8cc315947aa912dbc,2022-07-26T00:11:00Z,R,Kansas City Royals,Los Angeles Angels,2022,4.0,3.8,5.0,4.1,1,7,0,0.401,0.451,1,-3,-111.0,102.0,-110.0,100.0,-110.0,100.0,0.5238095238095238,0.5,0.023809523809523725,0.5116279069767442,0.48837209302325585
7846,0fdc73547f33a2963b95c3b8664cee11,2022-07-26T00:11:00Z,R,Milwaukee Brewers,Colorado Rockies,2022,4.5,4.3,4.2,5.4,0,0,2,0.531,0.42,1,3,-189.0,173.0,-185.0,170.0,-185.0,165.0,0.6491228070175439,0.37037037037037035,0.01949317738791434,0.6367112810707456,0.36328871892925424
7847,f1cd9ee0446c2def10a76f12f188aa04,2022-07-26T01:41:00Z,R,Oakland Athletics,Houston Astros,2022,3.5,4.5,4.8,3.2,1,7,5,0.37,0.654,1,0,198.0,-217.0,201.0,-222.0,192.0,-222.0,0.33222591362126247,0.6894409937888198,0.02166690741008237,0.32518026297186486,0.6748197370281351
7848,3ba4072f9a9b81ceac70818458b9795d,2022-07-26T01:41:00Z,R,Arizona Diamondbacks,San Francisco Giants,2022,4.3,4.4,4.6,4.3,1,7,0,0.457,0.5,-3,-2,112.0,-122.0,114.0,-123.0,114.0,-123.0,0.4672897196261682,0.5515695067264574,0.018859226352625713,0.45864012175558383,0.5413598782444161
7849,fd9b8cc60e10e5a51da3f5cee9b322ac,2022-07-26T02:11:00Z,R,Los Angeles Dodgers,Washington Nationals,2022,5.2,3.7,3.2,5.3,0,1,4,0.685,0.34,-5,-1,,,-303.0,270.0,-303.0,255.0,0.7518610421836228,0.2702702702702703,0.022131312453893104,0.7355816547470638,0.26441834525293617
7850,83ed6bd942bb71d705b6c4fdff53b371,2022-07-26T02:11:00Z,R,Seattle Mariners,Texas Rangers,2022,4.3,4.4,3.8,4.6,1,4,3,0.556,0.42,1,-9,-154.0,142.0,-152.0,140.0,-152.0,140.0,0.6031746031746031,0.4166666666666667,0.01984126984126977,0.5914396887159533,0.40856031128404674
