,id,game_date,season,home_team,away_team,home_score,away_score,home_is_winner,away_is_winner,game_type,away_Date,away_Current_win_pct,away_3_win_pct,away_1_win_pct,away_Home_win_pct,away_Away_win_pct,away_prev_win_pct,home_Date,home_Current_win_pct,home_3_win_pct,home_1_win_pct,home_Home_win_pct,home_Away_win_pct,home_prev_win_pct,home_r_Date,home_r_Team,home_r_Current,home_r_3,home_r_1,home_r_Home,home_r_Previous,away_r_Date,away_r_Team,away_r_Current,away_r_3,away_r_1,away_r_Home,away_r_Previous,home_opp_Date,home_opp_Team,home_opp_Current,home_opp_3,home_opp_1,home_opp_Home,home_opp_Previous,away_opp_Date,away_opp_Team,away_opp_Current,away_opp_3,away_opp_1,away_opp_Home,away_opp_Previous,home_median,away_median,home_mean,away_mean
106,441,2020-07-30,2020,New York Mets,Boston Red Sox,2,4,0,1,R,2020-07-30,0.333,0.333,1.000,0.200,1.000,0.519,2020-07-30,0.500,0.667,0.000,0.250,1.000,0.531,2020-07-30,New York Mets,4.17,6.67,5.00,2.50,4.88,2020-07-30,Boston Red Sox,5.33,4.33,6.00,5.20,5.56,2020-07-30,New York Mets,5.33,4.33,6.00,6.25,4.55,2020-07-30,Boston Red Sox,6.00,6.67,5.00,6.20,5.11,-149.0,135.0,-152.0,134.26315789473685
109,444,2020-07-30,2020,Atlanta Braves,Tampa Bay Rays,2,1,1,0,R,2020-07-30,0.667,0.667,0.000,0.800,0.000,0.589,2020-07-30,0.500,0.333,1.000,1.000,0.400,0.593,2020-07-30,Atlanta Braves,5.50,4.67,7.00,7.00,5.22,2020-07-30,Tampa Bay Rays,6.17,7.67,4.00,6.60,4.71,2020-07-30,Atlanta Braves,4.67,7.67,4.00,4.00,4.6,2020-07-30,Tampa Bay Rays,4.33,4.67,7.00,3.80,4.02,-141.0,125.0,-141.26315789473685,124.78947368421052
120,453,2020-07-31,2020,Atlanta Braves,New York Mets,11,10,1,0,R,2020-07-31,0.429,0.333,0.000,0.200,1.000,0.531,2020-07-31,0.571,0.667,1.000,1.000,0.400,0.593,2020-07-31,Atlanta Braves,5.00,3.67,2.00,4.50,5.22,2020-07-31,New York Mets,3.86,5.00,2.00,2.40,4.88,2020-07-31,Atlanta Braves,4.14,3.33,1.00,2.50,4.6,2020-07-31,New York Mets,5.14,4.33,4.00,5.80,4.55,-133.0,121.0,-134.31578947368422,120.57894736842105
125,458,2020-07-31,2020,Chicago Cubs,Pittsburgh Pirates,6,3,1,0,R,2020-07-31,0.333,0.333,0.000,0.333,0.333,0.426,2020-07-31,0.667,0.667,0.000,0.667,0.667,0.519,2020-07-31,Chicago Cubs,6.33,7.67,7.00,5.00,5.02,2020-07-31,Pittsburgh Pirates,3.83,4.33,0.00,4.33,4.68,2020-07-31,Chicago Cubs,5.50,8.00,12.00,3.00,4.43,2020-07-31,Pittsburgh Pirates,5.00,5.00,3.00,5.00,5.62,-190.5,170.0,-192.5,171.88888888888889
128,461,2020-07-31,2020,Arizona Diamondbacks,Los Angeles Dodgers,5,3,1,0,R,2020-07-31,0.714,1.000,1.000,0.500,1.000,0.647,2020-07-31,0.286,0.333,0.000,0.000,0.333,0.525,2020-07-31,Arizona Diamondbacks,2.86,3.67,3.00,3.00,5.02,2020-07-31,Los Angeles Dodgers,5.29,5.00,6.00,5.50,5.44,2020-07-31,Arizona Diamondbacks,5.00,4.67,6.00,6.00,4.59,2020-07-31,Los Angeles Dodgers,2.43,2.33,3.00,2.50,3.8,121.0,-134.0,120.61111111111111,-134.66666666666666
133,466,2020-08-01,2020,Los Angeles Angels,Houston Astros,5,4,1,0,R,2020-08-01,0.571,0.333,1.000,0.500,1.000,0.65,2020-08-01,0.250,0.000,0.000,0.250,0.250,0.444,2020-08-01,Los Angeles Angels,4.88,6.00,6.00,7.00,4.75,2020-08-01,Houston Astros,6.00,4.33,9.00,5.50,5.51,2020-08-01,Los Angeles Angels,5.75,9.00,9.00,7.25,5.36,2020-08-01,Houston Astros,4.43,5.00,6.00,4.17,3.96,140.0,-156.0,139.6315789473684,-157.21052631578948
134,467,2020-08-01,2020,New York Yankees,Boston Red Sox,5,2,1,0,R,2020-08-01,0.375,0.667,0.000,0.200,0.667,0.519,2020-08-01,0.833,1.000,1.000,1.000,0.800,0.632,2020-08-01,New York Yankees,5.17,7.33,5.00,5.00,5.77,2020-08-01,Boston Red Sox,4.63,3.67,1.00,5.20,5.56,2020-08-01,New York Yankees,3.67,3.33,1.00,1.00,4.49,2020-08-01,Boston Red Sox,5.38,4.00,5.00,6.20,5.11,-182.0,160.0,-182.68421052631578,161.3684210526316
136,469,2020-08-01,2020,Atlanta Braves,New York Mets,7,1,1,0,R,2020-08-01,0.375,0.000,0.000,0.200,0.667,0.531,2020-08-01,0.625,1.000,1.000,1.000,0.400,0.593,2020-08-01,Atlanta Braves,5.75,6.67,11.00,6.67,5.22,2020-08-01,New York Mets,4.63,5.67,10.00,2.40,4.88,2020-08-01,Atlanta Braves,4.88,5.00,10.00,5.00,4.6,2020-08-01,New York Mets,5.88,7.00,11.00,5.80,4.55,-125.0,110.0,-124.84210526315789,111.05263157894737
137,470,2020-08-01,2020,Baltimore Orioles,Tampa Bay Rays,5,4,1,0,R,2020-08-01,0.500,0.000,0.000,0.800,0.000,0.589,2020-08-01,0.500,0.333,1.000,0.333,0.667,0.333,2020-08-01,Baltimore Orioles,5.17,5.00,6.00,5.00,4.5,2020-08-01,Tampa Bay Rays,5.13,2.67,3.00,6.60,4.71,2020-08-01,Baltimore Orioles,6.50,6.67,3.00,6.67,6.06,2020-08-01,Tampa Bay Rays,4.25,5.00,6.00,3.80,4.02,190.0,-217.0,191.1578947368421,-217.47368421052633
138,471,2020-08-01,2020,Arizona Diamondbacks,Los Angeles Dodgers,2,11,0,1,R,2020-08-01,0.625,0.667,0.000,0.500,0.750,0.647,2020-08-01,0.375,0.333,1.000,0.500,0.333,0.525,2020-08-01,Arizona Diamondbacks,3.13,4.00,5.00,4.00,5.02,2020-08-01,Los Angeles Dodgers,5.00,4.33,3.00,5.50,5.44,2020-08-01,Arizona Diamondbacks,4.75,5.33,3.00,4.50,4.59,2020-08-01,Los Angeles Dodgers,2.75,3.33,5.00,2.50,3.8,131.5,-145.0,130.11111111111111,-145.16666666666666
139,472,2020-08-01,2020,Colorado Rockies,San Diego Padres,6,1,1,0,R,2020-08-01,0.750,0.667,1.000,0.750,0.750,0.432,2020-08-01,0.667,0.667,0.000,0.000,0.800,0.438,2020-08-01,Colorado Rockies,4.67,6.67,7.00,7.00,5.15,2020-08-01,San Diego Padres,6.50,8.67,8.00,5.25,4.21,2020-08-01,Colorado Rockies,2.83,4.00,8.00,8.00,5.91,2020-08-01,San Diego Padres,4.13,7.00,7.00,2.25,4.87,108.0,-120.0,107.6842105263158,-120.63157894736842
140,473,2020-08-01,2020,Chicago Cubs,Pittsburgh Pirates,4,3,1,0,R,2020-08-01,0.286,0.333,0.000,0.333,0.250,0.426,2020-08-01,0.714,0.667,1.000,0.750,0.667,0.519,2020-08-01,Chicago Cubs,6.29,7.00,6.00,5.25,5.02,2020-08-01,Pittsburgh Pirates,3.71,3.67,3.00,4.33,4.68,2020-08-01,Chicago Cubs,5.14,6.67,3.00,3.00,4.43,2020-08-01,Pittsburgh Pirates,5.14,5.00,6.00,5.00,5.62,-160.0,141.5,-158.38888888888889,142.38888888888889
141,474,2020-08-01,2020,Seattle Mariners,Oakland Athletics,2,3,0,1,R,2020-08-01,0.429,0.000,0.000,0.500,0.000,0.595,2020-08-01,0.500,1.000,1.000,1.000,0.429,0.42,2020-08-01,Seattle Mariners,5.13,7.67,5.00,5.00,4.68,2020-08-01,Oakland Athletics,3.43,2.33,3.00,3.50,5.19,2020-08-01,Seattle Mariners,6.75,5.00,3.00,3.00,5.51,2020-08-01,Oakland Athletics,4.14,6.00,5.00,4.00,4.2,135.0,-148.0,134.55555555555554,-150.16666666666666
143,476,2020-08-01,2020,Detroit Tigers,Cincinnati Reds,Unknown,Unknown,Unknown,Unknown,R,2020-08-01,0.286,0.333,0.000,0.333,0.000,0.463,2020-08-01,0.625,0.667,1.000,0.600,0.667,0.292,2020-08-01,Detroit Tigers,4.38,5.00,7.00,5.00,3.61,2020-08-01,Cincinnati Reds,5.57,6.33,2.00,6.17,4.33,2020-08-01,Detroit Tigers,5.13,3.67,2.00,5.60,5.68,2020-08-01,Cincinnati Reds,5.71,7.33,7.00,5.50,4.39,157.0,-172.0,155.94736842105263,-175.05263157894737
162,483,2020-08-02,2020,Baltimore Orioles,Tampa Bay Rays,5,1,1,0,R,2020-08-02,0.444,0.000,0.000,0.800,0.000,0.589,2020-08-02,0.571,0.667,1.000,0.500,0.667,0.333,2020-08-02,Baltimore Orioles,5.14,5.67,5.00,5.00,4.5,2020-08-02,Tampa Bay Rays,5.00,2.67,4.00,6.60,4.71,2020-08-02,Baltimore Orioles,6.14,5.00,4.00,6.00,6.06,2020-08-02,Tampa Bay Rays,4.33,4.33,5.00,3.80,4.02,166.0,-185.0,166.42105263157896,-186.89473684210526
163,484,2020-08-02,2020,Atlanta Braves,New York Mets,4,0,1,0,R,2020-08-02,0.333,0.000,0.000,0.200,0.500,0.531,2020-08-02,0.667,1.000,1.000,1.000,0.400,0.593,2020-08-02,Atlanta Braves,5.89,6.67,7.00,6.75,5.22,2020-08-02,New York Mets,4.22,4.33,1.00,2.40,4.88,2020-08-02,Atlanta Braves,4.44,4.00,1.00,4.00,4.6,2020-08-02,New York Mets,6.00,7.33,7.00,5.80,4.55,-104.0,-105.0,-84.63157894736842,-96.0
166,487,2020-08-02,2020,Chicago Cubs,Pittsburgh Pirates,2,1,1,0,R,2020-08-02,0.250,0.000,0.000,0.333,0.200,0.426,2020-08-02,0.750,0.667,1.000,0.800,0.667,0.519,2020-08-02,Chicago Cubs,6.00,5.67,4.00,5.00,5.02,2020-08-02,Pittsburgh Pirates,3.63,2.00,3.00,4.33,4.68,2020-08-02,Chicago Cubs,4.88,6.00,3.00,3.00,4.43,2020-08-02,Pittsburgh Pirates,5.00,4.33,4.00,5.00,5.62,-200.0,175.0,-198.55555555555554,175.16666666666666
167,488,2020-08-02,2020,Colorado Rockies,San Diego Padres,9,6,1,0,R,2020-08-02,0.667,0.667,0.000,0.750,0.600,0.432,2020-08-02,0.714,0.667,1.000,0.500,0.800,0.438,2020-08-02,Colorado Rockies,4.86,6.00,6.00,6.50,5.15,2020-08-02,San Diego Padres,5.89,7.00,1.00,5.25,4.21,2020-08-02,Colorado Rockies,2.57,3.33,1.00,4.50,5.91,2020-08-02,San Diego Padres,4.33,6.67,6.00,2.25,4.87,113.0,-125.0,112.55555555555556,-126.0
169,490,2020-08-02,2020,Los Angeles Angels,Houston Astros,5,6,0,1,R,2020-08-02,0.500,0.333,0.000,0.500,0.500,0.65,2020-08-02,0.333,0.333,1.000,0.400,0.250,0.444,2020-08-02,Los Angeles Angels,4.89,5.33,5.00,6.60,4.75,2020-08-02,Houston Astros,5.75,5.00,4.00,5.50,5.51,2020-08-02,Los Angeles Angels,5.56,7.00,4.00,6.60,5.36,2020-08-02,Houston Astros,4.50,5.00,5.00,4.17,3.96,115.0,-125.0,114.55555555555556,-127.5
170,491,2020-08-02,2020,Arizona Diamondbacks,Los Angeles Dodgers,0,3,0,1,R,2020-08-02,0.667,0.667,1.000,0.500,0.800,0.647,2020-08-02,0.333,0.333,0.000,0.333,0.333,0.525,2020-08-02,Arizona Diamondbacks,3.00,3.33,2.00,3.33,5.02,2020-08-02,Los Angeles Dodgers,5.67,6.67,11.00,5.50,5.44,2020-08-02,Arizona Diamondbacks,5.44,6.67,11.00,6.67,4.59,2020-08-02,Los Angeles Dodgers,2.67,3.33,2.00,2.50,3.8,163.0,-182.0,161.38888888888889,-181.83333333333334
185,500,2020-08-03,2020,Atlanta Braves,New York Mets,2,7,0,1,R,2020-08-03,0.300,0.000,0.000,0.200,0.400,0.531,2020-08-03,0.700,1.000,1.000,1.000,0.400,0.593,2020-08-03,Atlanta Braves,5.70,7.33,4.00,6.20,5.22,2020-08-03,New York Mets,3.80,3.67,0.00,2.40,4.88,2020-08-03,Atlanta Braves,4.00,3.67,0.00,3.20,4.6,2020-08-03,New York Mets,5.80,7.33,4.00,5.80,4.55,108.0,-120.0,107.73684210526316,-120.63157894736842
188,503,2020-08-03,2020,Chicago Cubs,Kansas City Royals,2,0,1,0,R,2020-08-03,0.300,0.000,0.000,0.000,0.429,0.364,2020-08-03,0.778,1.000,1.000,0.833,0.667,0.519,2020-08-03,Chicago Cubs,5.56,4.00,2.00,4.50,5.02,2020-08-03,Kansas City Royals,4.00,3.00,2.00,3.00,4.27,2020-08-03,Chicago Cubs,4.44,2.33,1.00,2.67,4.43,2020-08-03,Kansas City Royals,5.40,7.67,9.00,7.67,5.36,-156.0,138.0,-156.2941176470588,139.35294117647058
189,504,2020-08-03,2020,Colorado Rockies,San Francisco Giants,7,6,1,0,R,2020-08-03,0.500,0.667,0.000,0.500,0.500,0.475,2020-08-03,0.750,0.667,1.000,0.667,0.800,0.438,2020-08-03,Colorado Rockies,5.38,7.33,9.00,7.33,5.15,2020-08-03,San Francisco Giants,4.80,7.00,5.00,6.33,4.19,2020-08-03,Colorado Rockies,3.00,5.00,6.00,5.00,5.91,2020-08-03,San Francisco Giants,5.90,4.67,9.00,6.17,4.77,-139.0,124.0,-138.73684210526315,124.57894736842105
190,505,2020-08-03,2020,San Diego Padres,Los Angeles Dodgers,5,4,1,0,R,2020-08-03,0.700,0.667,1.000,0.500,0.833,0.647,2020-08-03,0.600,0.333,0.000,0.750,0.500,0.432,2020-08-03,San Diego Padres,5.90,5.00,6.00,5.25,4.21,2020-08-03,Los Angeles Dodgers,5.40,5.67,3.00,5.50,5.44,2020-08-03,San Diego Padres,4.80,7.33,9.00,2.25,4.87,2020-08-03,Los Angeles Dodgers,2.40,2.33,0.00,2.50,3.8,122.0,-135.0,121.29411764705883,-135.0
191,506,2020-08-03,2020,Seattle Mariners,Oakland Athletics,1,11,0,1,R,2020-08-03,0.556,0.667,1.000,0.500,0.667,0.595,2020-08-03,0.400,0.333,0.000,0.333,0.429,0.42,2020-08-03,Seattle Mariners,4.50,3.00,2.00,3.00,4.68,2020-08-03,Oakland Athletics,3.33,3.00,3.00,3.50,5.19,2020-08-03,Seattle Mariners,6.00,3.00,3.00,3.00,5.51,2020-08-03,Oakland Athletics,3.67,3.00,2.00,4.00,4.2,165.0,-185.0,164.47368421052633,-185.05263157894737
194,509,2020-08-04,2020,Tampa Bay Rays,Boston Red Sox,5,1,1,0,R,2020-08-04,0.300,0.000,0.000,0.200,0.400,0.519,2020-08-04,0.400,0.000,0.000,0.800,0.000,0.589,2020-08-04,Tampa Bay Rays,4.60,2.67,1.00,6.60,4.71,2020-08-04,Boston Red Sox,4.60,3.33,7.00,5.20,5.56,2020-08-04,Tampa Bay Rays,4.40,5.33,5.00,3.80,4.02,2020-08-04,Boston Red Sox,5.70,6.33,9.00,6.20,5.11,-145.0,130.0,-147.0,130.94736842105263
195,510,2020-08-04,2020,Washington Nationals,New York Mets,5,3,1,0,R,2020-08-04,0.364,0.333,1.000,0.200,0.500,0.531,2020-08-04,0.429,0.667,1.000,0.200,1.000,0.587,2020-08-04,Washington Nationals,3.43,3.67,6.00,2.80,5.31,2020-08-04,New York Mets,4.09,2.67,7.00,2.40,4.88,2020-08-04,Washington Nationals,3.14,3.00,4.00,3.60,4.39,2020-08-04,New York Mets,5.45,4.33,2.00,5.80,4.55,-146.0,133.0,-148.2,132.8
200,514,2020-08-04,2020,Chicago Cubs,Kansas City Royals,5,4,1,0,R,2020-08-04,0.273,0.000,0.000,0.000,0.375,0.364,2020-08-04,0.800,1.000,1.000,0.857,0.667,0.519,2020-08-04,Chicago Cubs,5.20,2.67,2.00,4.14,5.02,2020-08-04,Kansas City Royals,3.64,2.33,0.00,3.00,4.27,2020-08-04,Chicago Cubs,4.00,1.33,0.00,2.29,4.43,2020-08-04,Kansas City Royals,5.09,7.33,2.00,7.67,5.36,-196.0,170.0,-194.94117647058823,171.88235294117646
203,517,2020-08-04,2020,San Diego Padres,Los Angeles Dodgers,2,5,0,1,R,2020-08-04,0.636,0.667,0.000,0.500,0.714,0.647,2020-08-04,0.636,0.333,1.000,0.800,0.500,0.432,2020-08-04,San Diego Padres,5.82,4.00,5.00,5.20,4.21,2020-08-04,Los Angeles Dodgers,5.27,6.00,4.00,5.50,5.44,2020-08-04,San Diego Padres,4.73,6.33,4.00,2.60,4.87,2020-08-04,Los Angeles Dodgers,2.64,2.33,5.00,2.50,3.8,112.0,-122.0,99.73684210526316,-113.21052631578948
204,518,2020-08-04,2020,Oakland Athletics,Texas Rangers,5,1,1,0,R,2020-08-04,0.375,0.333,1.000,0.400,0.333,0.482,2020-08-04,0.600,1.000,1.000,0.500,0.750,0.595,2020-08-04,Oakland Athletics,4.10,5.67,11.00,3.50,5.19,2020-08-04,Texas Rangers,3.38,4.67,9.00,2.60,5.0,2020-08-04,Oakland Athletics,3.40,1.67,1.00,4.00,4.2,2020-08-04,Texas Rangers,4.63,7.00,5.00,3.20,5.42,-145.0,129.0,-145.15,129.7
205,519,2020-08-04,2020,Seattle Mariners,Los Angeles Angels,3,5,0,1,R,2020-08-04,0.300,0.333,0.000,0.333,0.250,0.444,2020-08-04,0.364,0.000,0.000,0.250,0.429,0.42,2020-08-04,Seattle Mariners,4.18,1.67,1.00,2.50,4.68,2020-08-04,Los Angeles Angels,4.90,5.33,5.00,6.33,4.75,2020-08-04,Seattle Mariners,6.45,5.67,11.00,5.00,5.51,2020-08-04,Los Angeles Angels,5.60,6.33,6.00,6.50,5.36,170.0,-192.0,169.55,-192.2
245,526,2020-08-05,2020,Washington Nationals,New York Mets,1,3,0,1,R,2020-08-05,0.333,0.333,0.000,0.200,0.429,0.531,2020-08-05,0.500,1.000,1.000,0.333,1.000,0.587,2020-08-05,Washington Nationals,3.63,5.00,5.00,3.17,5.31,2020-08-05,New York Mets,4.00,3.33,3.00,2.40,4.88,2020-08-05,Washington Nationals,3.13,2.33,3.00,3.50,4.39,2020-08-05,New York Mets,5.42,3.67,5.00,5.80,4.55,-224.5,195.0,-222.9,195.35
246,527,2020-08-05,2020,Tampa Bay Rays,Boston Red Sox,0,5,0,1,R,2020-08-05,0.273,0.000,0.000,0.200,0.333,0.519,2020-08-05,0.455,0.333,1.000,0.833,0.000,0.589,2020-08-05,Tampa Bay Rays,4.64,3.33,5.00,6.33,4.71,2020-08-05,Boston Red Sox,4.27,3.33,1.00,5.20,5.56,2020-08-05,Tampa Bay Rays,4.09,3.67,1.00,3.33,4.02,2020-08-05,Boston Red Sox,5.64,6.33,5.00,6.20,5.11,-146.0,130.5,-147.0,131.4
247,528,2020-08-05,2020,Pittsburgh Pirates,Minnesota Twins,2,5,0,1,R,2020-08-05,0.818,1.000,1.000,0.875,0.667,0.612,2020-08-05,0.182,0.000,0.000,0.333,0.125,0.426,2020-08-05,Pittsburgh Pirates,3.36,2.67,3.00,4.33,4.68,2020-08-05,Minnesota Twins,5.27,5.00,7.00,3.88,5.73,2020-08-05,Pittsburgh Pirates,4.91,4.67,7.00,5.00,5.62,2020-08-05,Minnesota Twins,2.82,2.67,3.00,1.75,4.71,165.0,-185.0,164.5,-185.3
250,531,2020-08-05,2020,Kansas City Royals,Chicago Cubs,1,6,0,1,R,2020-08-05,0.818,1.000,1.000,0.875,0.667,0.519,2020-08-05,0.250,0.000,0.000,0.000,0.333,0.364,2020-08-05,Kansas City Royals,3.67,2.00,4.00,3.00,4.27,2020-08-05,Chicago Cubs,5.18,3.00,5.00,4.25,5.02,2020-08-05,Kansas City Royals,5.08,5.33,5.00,7.67,5.36,2020-08-05,Chicago Cubs,4.00,1.67,4.00,2.50,4.43,190.0,-213.0,190.11764705882354,-216.35294117647058
253,534,2020-08-05,2020,Arizona Diamondbacks,Houston Astros,14,7,1,0,R,2020-08-05,0.600,0.667,1.000,0.500,0.750,0.65,2020-08-05,0.273,0.000,0.000,0.200,0.333,0.525,2020-08-05,Arizona Diamondbacks,2.64,1.33,2.00,2.40,5.02,2020-08-05,Houston Astros,6.00,6.00,8.00,5.50,5.51,2020-08-05,Arizona Diamondbacks,5.45,7.33,8.00,6.20,4.59,2020-08-05,Houston Astros,4.30,4.00,2.00,4.17,3.96,145.0,-159.0,142.8421052631579,-160.94736842105263
254,535,2020-08-05,2020,San Diego Padres,Los Angeles Dodgers,6,7,0,1,R,2020-08-05,0.667,0.667,1.000,0.500,0.750,0.647,2020-08-05,0.583,0.333,0.000,0.667,0.500,0.432,2020-08-05,San Diego Padres,5.50,4.33,2.00,4.67,4.21,2020-08-05,Los Angeles Dodgers,5.25,4.00,5.00,5.50,5.44,2020-08-05,San Diego Padres,4.75,6.00,5.00,3.00,4.87,2020-08-05,Los Angeles Dodgers,2.58,2.33,2.00,2.50,3.8,115.0,-125.0,113.05263157894737,-126.84210526315789
255,536,2020-08-05,2020,Oakland Athletics,Texas Rangers,6,4,1,0,R,2020-08-05,0.333,0.333,0.000,0.400,0.250,0.482,2020-08-05,0.636,1.000,1.000,0.571,0.750,0.595,2020-08-05,Oakland Athletics,4.18,6.33,5.00,3.71,5.19,2020-08-05,Texas Rangers,3.11,4.33,1.00,2.60,5.0,2020-08-05,Oakland Athletics,3.18,1.33,1.00,3.57,4.2,2020-08-05,Texas Rangers,4.67,5.67,5.00,3.20,5.42,-172.0,154.0,-172.0,152.4
256,537,2020-08-05,2020,Seattle Mariners,Los Angeles Angels,7,6,1,0,R,2020-08-05,0.364,0.667,1.000,0.333,0.400,0.444,2020-08-05,0.333,0.000,0.000,0.200,0.429,0.42,2020-08-05,Seattle Mariners,4.08,2.00,3.00,2.60,4.68,2020-08-05,Los Angeles Angels,4.91,5.00,5.00,6.33,4.75,2020-08-05,Seattle Mariners,6.33,6.33,5.00,5.00,5.51,2020-08-05,Los Angeles Angels,5.36,4.33,3.00,6.50,5.36,132.5,-144.0,132.57142857142858,-147.42857142857142
283,542,2020-08-06,2020,Pittsburgh Pirates,Minnesota Twins,6,5,1,0,R,2020-08-06,0.833,1.000,1.000,0.875,0.750,0.612,2020-08-06,0.167,0.000,0.000,0.250,0.125,0.426,2020-08-06,Pittsburgh Pirates,3.25,3.00,2.00,3.75,4.68,2020-08-06,Minnesota Twins,5.25,5.67,5.00,3.88,5.73,2020-08-06,Pittsburgh Pirates,4.92,5.67,5.00,5.00,5.62,2020-08-06,Minnesota Twins,2.75,3.00,2.00,1.75,4.71,184.0,-200.0,180.31578947368422,-203.6315789473684
285,544,2020-08-06,2020,Oakland Athletics,Texas Rangers,6,4,1,0,R,2020-08-06,0.300,0.333,0.000,0.400,0.200,0.482,2020-08-06,0.667,1.000,1.000,0.625,0.750,0.595,2020-08-06,Oakland Athletics,4.33,7.33,6.00,4.00,5.19,2020-08-06,Texas Rangers,3.20,4.67,4.00,2.60,5.0,2020-08-06,Oakland Athletics,3.25,2.00,4.00,3.63,4.2,2020-08-06,Texas Rangers,4.80,5.33,6.00,3.20,5.42,-145.0,132.0,-147.25,131.95
286,545,2020-08-06,2020,Seattle Mariners,Los Angeles Angels,1,6,0,1,R,2020-08-06,0.333,0.333,0.000,0.333,0.333,0.444,2020-08-06,0.385,0.333,1.000,0.333,0.429,0.42,2020-08-06,Seattle Mariners,4.31,3.67,7.00,3.33,4.68,2020-08-06,Los Angeles Angels,5.00,5.33,6.00,6.33,4.75,2020-08-06,Seattle Mariners,6.31,7.33,6.00,5.17,5.51,2020-08-06,Los Angeles Angels,5.50,5.33,7.00,6.50,5.36,153.0,-170.5,153.0,-171.65
288,546,2020-08-06,2020,Philadelphia Phillies,New York Yankees,5,4,1,0,R,2020-08-06,0.818,0.667,1.000,0.800,0.833,0.632,2020-08-06,0.333,0.333,0.000,0.250,0.500,0.5,2020-08-06,Philadelphia Phillies,5.00,5.00,1.00,4.00,4.78,2020-08-06,New York Yankees,5.55,5.33,3.00,6.40,5.77,2020-08-06,Philadelphia Phillies,5.50,5.33,3.00,5.00,4.9,2020-08-06,New York Yankees,4.18,5.00,1.00,4.80,4.49,135.0,-149.0,136.05263157894737,-152.8421052631579
291,549,2020-08-06,2020,Kansas City Royals,Chicago Cubs,13,2,1,0,R,2020-08-06,0.833,1.000,1.000,0.875,0.750,0.519,2020-08-06,0.231,0.000,0.000,0.000,0.333,0.364,2020-08-06,Kansas City Royals,3.46,1.67,1.00,2.50,4.27,2020-08-06,Chicago Cubs,5.25,4.33,6.00,4.25,5.02,2020-08-06,Kansas City Royals,5.15,4.33,6.00,7.25,5.36,2020-08-06,Chicago Cubs,3.75,1.67,1.00,2.50,4.43,149.5,-165.5,148.05,-165.55
301,555,2020-08-07,2020,Washington Nationals,Baltimore Orioles,0,11,0,1,R,2020-08-07,0.417,0.000,0.000,0.429,0.400,0.333,2020-08-07,0.444,0.667,0.000,0.286,1.000,0.587,2020-08-07,Washington Nationals,3.33,4.00,1.00,2.86,5.31,2020-08-07,Baltimore Orioles,4.08,2.67,7.00,3.57,4.5,2020-08-07,Washington Nationals,3.11,3.33,3.00,3.43,4.39,2020-08-07,Baltimore Orioles,4.92,3.67,8.00,4.29,6.06,-180.5,160.0,-182.05,160.8
302,556,2020-08-07,2020,Tampa Bay Rays,New York Yankees,1,0,1,0,R,2020-08-07,0.750,0.333,0.000,0.800,0.714,0.632,2020-08-07,0.417,0.333,0.000,0.714,0.000,0.589,2020-08-07,Tampa Bay Rays,4.25,2.00,0.00,5.43,4.71,2020-08-07,New York Yankees,5.42,4.67,4.00,6.40,5.77,2020-08-07,Tampa Bay Rays,4.17,3.67,5.00,3.57,4.02,2020-08-07,New York Yankees,4.25,5.67,5.00,4.80,4.49,-103.5,-111.0,-52.95,-99.85
303,557,2020-08-07,2020,Pittsburgh Pirates,Detroit Tigers,13,17,0,1,R,2020-08-07,0.500,0.333,0.000,0.429,0.667,0.292,2020-08-07,0.231,0.333,1.000,0.400,0.125,0.426,2020-08-07,Pittsburgh Pirates,3.46,3.67,6.00,4.20,4.68,2020-08-07,Detroit Tigers,3.80,3.33,0.00,4.00,3.61,2020-08-07,Pittsburgh Pirates,4.92,5.67,5.00,5.00,5.62,2020-08-07,Detroit Tigers,4.90,3.33,4.00,5.14,5.68,-104.0,-110.0,-64.15,-88.25
306,560,2020-08-07,2020,Kansas City Royals,Minnesota Twins,3,2,1,0,R,2020-08-07,0.769,0.667,0.000,0.875,0.600,0.612,2020-08-07,0.286,0.333,1.000,0.200,0.333,0.364,2020-08-07,Kansas City Royals,4.14,6.00,13.00,4.60,4.27,2020-08-07,Minnesota Twins,5.23,5.67,5.00,3.88,5.73,2020-08-07,Kansas City Royals,4.93,4.33,2.00,6.20,5.36,2020-08-07,Minnesota Twins,3.00,3.67,6.00,1.75,4.71,149.0,-165.5,147.7,-165.3
308,562,2020-08-07,2020,Milwaukee Brewers,Cincinnati Reds,3,8,0,1,R,2020-08-07,0.385,0.000,0.000,0.375,0.400,0.463,2020-08-07,0.500,0.667,1.000,0.000,0.625,0.546,2020-08-07,Milwaukee Brewers,3.90,3.67,8.00,3.00,4.74,2020-08-07,Cincinnati Reds,4.00,0.67,0.00,5.25,4.33,2020-08-07,Milwaukee Brewers,4.00,2.00,3.00,4.50,4.72,2020-08-07,Cincinnati Reds,4.92,6.33,13.00,4.88,4.39,109.0,-122.5,108.75,-122.6
