,home_team,away_team,home_is_winner,away_win_prob,home_win_prob
3130,Milwaukee Brewers,Cincinnati Reds,1,0.46509236,0.53490764
1788,Seattle Mariners,Houston Astros,1,0.46509236,0.53490764
1302,Cleveland Indians,Oakland Athletics,1,0.41332114,0.58667886
1587,New York Yankees,Baltimore Orioles,1,0.4392532,0.5607468
8250,Los Angeles Angels,Toronto Blue Jays,0,0.47043538,0.5295646
320,Kansas City Royals,Chicago White Sox,0,0.6074066,0.39259335
3241,Colorado Rockies,Los Angeles Dodgers,1,0.58660364,0.4133964
4073,Atlanta Braves,Colorado Rockies,0,0.40360695,0.59639305
5773,Colorado Rockies,Atlanta Braves,0,0.58660364,0.4133964
4459,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
3669,Colorado Rockies,San Diego Padres,1,0.5689705,0.4310295
2696,Oakland Athletics,Arizona Diamondbacks,1,0.40360695,0.59639305
578,Oakland Athletics,Arizona Diamondbacks,1,0.40360695,0.59639305
6322,Chicago White Sox,Detroit Tigers,0,0.29698515,0.70301485
323,San Francisco Giants,Texas Rangers,1,0.5587276,0.4412724
853,Washington Nationals,Atlanta Braves,0,0.5291901,0.47080988
2681,Philadelphia Phillies,Atlanta Braves,1,0.41332114,0.58667886
4889,Chicago White Sox,Seattle Mariners,1,0.41332114,0.58667886
966,Chicago Cubs,Minnesota Twins,0,0.41332114,0.58667886
3062,Atlanta Braves,Miami Marlins,0,0.40360695,0.59639305
8844,Minnesota Twins,Kansas City Royals,1,0.40360695,0.59639305
8864,Chicago White Sox,Tampa Bay Rays,0,0.6074066,0.39259335
8314,San Francisco Giants,Kansas City Royals,1,0.40360695,0.59639305
5193,Kansas City Royals,New York Yankees,0,0.710894,0.28910604
3007,Oakland Athletics,Texas Rangers,1,0.44137216,0.55862784
7011,Chicago Cubs,Milwaukee Brewers,1,0.5587276,0.4412724
5792,Chicago Cubs,St. Louis Cardinals,0,0.5774405,0.42255953
7923,Houston Astros,Philadelphia Phillies,1,0.021888018,0.978112
5663,Detroit Tigers,Cleveland Guardians,0,0.6074066,0.39259335
80,Oakland Athletics,Los Angeles Angels,1,0.40360695,0.59639305
2569,Colorado Rockies,Texas Rangers,1,0.46509236,0.53490764
4525,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
4962,Seattle Mariners,Houston Astros,1,0.6074066,0.39259335
327,Chicago Cubs,Pittsburgh Pirates,1,0.40360695,0.59639305
1876,Seattle Mariners,Los Angeles Dodgers,0,0.4132411,0.5867589
8036,Los Angeles Dodgers,Arizona Diamondbacks,1,0.40360695,0.59639305
1177,Los Angeles Dodgers,Tampa Bay Rays,1,0.2271201,0.7728799
3211,Arizona Diamondbacks,Chicago Cubs,0,0.5244881,0.47551188
2717,Oakland Athletics,Kansas City Royals,1,0.45557523,0.5444248
5177,Tampa Bay Rays,Minnesota Twins,1,0.41332114,0.58667886
1654,Pittsburgh Pirates,Chicago Cubs,1,0.4392532,0.5607468
690,Arizona Diamondbacks,San Francisco Giants,0,0.41332114,0.58667886
3327,Los Angeles Dodgers,Colorado Rockies,1,0.40360695,0.59639305
1029,Kansas City Royals,Detroit Tigers,1,0.41332114,0.58667886
8331,Colorado Rockies,Washington Nationals,1,0.40360695,0.59639305
4495,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
1814,New York Yankees,Tampa Bay Rays,0,0.46509236,0.53490764
4604,Milwaukee Brewers,San Diego Padres,1,0.4392532,0.5607468
7517,Colorado Rockies,San Francisco Giants,0,0.5587276,0.4412724
6855,Houston Astros,Texas Rangers,1,0.2202766,0.7797234
1044,St. Louis Cardinals,Milwaukee Brewers,0,0.5291901,0.47080988
1184,Los Angeles Dodgers,Tampa Bay Rays,1,0.2271201,0.7728799
7370,Pittsburgh Pirates,St. Louis Cardinals,0,0.7529004,0.2470996
1175,Los Angeles Dodgers,Tampa Bay Rays,1,0.2271201,0.7728799
1605,Houston Astros,Oakland Athletics,1,0.40360695,0.59639305
4903,Pittsburgh Pirates,Chicago Cubs,1,0.5587276,0.4412724
95,St. Louis Cardinals,Pittsburgh Pirates,1,0.40360695,0.59639305
6015,Cincinnati Reds,Milwaukee Brewers,0,0.6074066,0.39259335
7731,Los Angeles Dodgers,Colorado Rockies,0,0.26688445,0.73311555
5606,Seattle Mariners,Oakland Athletics,0,0.40360695,0.59639305
8945,Los Angeles Dodgers,St. Louis Cardinals,1,0.40360695,0.59639305
2778,Kansas City Royals,Detroit Tigers,0,0.4096601,0.5903399
1490,San Diego Padres,Arizona Diamondbacks,0,0.40360695,0.59639305
5674,New York Mets,Philadelphia Phillies,1,0.5291901,0.47080988
6616,Kansas City Royals,Los Angeles Angels,0,0.41332114,0.58667886
5618,St. Louis Cardinals,Milwaukee Brewers,0,0.4771729,0.5228271
4730,Detroit Tigers,New York Yankees,0,0.46419036,0.53580964
521,Arizona Diamondbacks,San Diego Padres,1,0.5291901,0.47080988
2496,Pittsburgh Pirates,Chicago Cubs,0,0.5774405,0.42255953
3105,Houston Astros,Oakland Athletics,0,0.4096601,0.5903399
4446,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
2271,Washington Nationals,Philadelphia Phillies,0,0.5774405,0.42255953
7906,Houston Astros,Philadelphia Phillies,1,0.021888018,0.978112
4141,New York Yankees,Cleveland Indians,0,0.2202766,0.7797234
14,Washington Nationals,New York Yankees,0,0.5587276,0.4412724
1021,Atlanta Braves,Boston Red Sox,1,0.40360695,0.59639305
5462,Miami Marlins,Washington Nationals,1,0.39061278,0.6093872
3999,Cleveland Indians,Minnesota Twins,1,0.4096601,0.5903399
3921,Cincinnati Reds,Detroit Tigers,1,0.40360695,0.59639305
367,Oakland Athletics,Texas Rangers,1,0.41332114,0.58667886
7009,Pittsburgh Pirates,Cincinnati Reds,1,0.5587276,0.4412724
8400,Philadelphia Phillies,Miami Marlins,0,0.40360695,0.59639305
2078,Los Angeles Dodgers,Cincinnati Reds,1,0.39061278,0.6093872
789,Atlanta Braves,Miami Marlins,0,0.36371094,0.63628906
741,Philadelphia Phillies,Washington Nationals,1,0.40360695,0.59639305
4297,Toronto Blue Jays,New York Yankees,0,0.4096601,0.5903399
5334,New York Yankees,Texas Rangers,0,0.40360695,0.59639305
3517,Colorado Rockies,Miami Marlins,1,0.40360695,0.59639305
8657,Arizona Diamondbacks,San Diego Padres,1,0.47043538,0.5295646
6674,New York Yankees,Kansas City Royals,0,0.24810123,0.75189877
6859,Colorado Rockies,St. Louis Cardinals,1,0.58660364,0.4133964
4599,Toronto Blue Jays,Pittsburgh Pirates,1,0.4392532,0.5607468
3086,Kansas City Royals,Cincinnati Reds,0,0.5291901,0.47080988
3292,New York Mets,Toronto Blue Jays,1,0.46509236,0.53490764
3615,Seattle Mariners,Toronto Blue Jays,1,0.68133914,0.31866083
8483,Houston Astros,Texas Rangers,0,0.40360695,0.59639305
4767,Los Angeles Angels,Los Angeles Dodgers,1,0.5689705,0.4310295
4172,Colorado Rockies,Los Angeles Dodgers,0,0.710894,0.28910604
1688,Kansas City Royals,Los Angeles Angels,1,0.5291901,0.47080988
3400,Miami Marlins,New York Yankees,0,0.68133914,0.31866083
4540,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
8061,St. Louis Cardinals,Toronto Blue Jays,0,0.5689705,0.4310295
1099,Tampa Bay Rays,Houston Astros,0,0.41332114,0.58667886
7342,Minnesota Twins,Cleveland Guardians,0,0.5291901,0.47080988
7140,St. Louis Cardinals,Atlanta Braves,1,0.46509236,0.53490764
1636,Houston Astros,Oakland Athletics,0,0.41332114,0.58667886
239,Tampa Bay Rays,Toronto Blue Jays,1,0.41332114,0.58667886
5428,Arizona Diamondbacks,Chicago Cubs,0,0.40360695,0.59639305
1707,Atlanta Braves,Miami Marlins,0,0.4392532,0.5607468
8672,Minnesota Twins,Washington Nationals,0,0.33065838,0.6693416
6386,Atlanta Braves,New York Mets,0,0.41332114,0.58667886
2296,Minnesota Twins,Oakland Athletics,1,0.46509236,0.53490764
3431,San Francisco Giants,Houston Astros,1,0.46509236,0.53490764
6448,St. Louis Cardinals,Cincinnati Reds,1,0.40360695,0.59639305
4034,Los Angeles Dodgers,San Diego Padres,1,0.44137216,0.55862784
5640,Cincinnati Reds,San Francisco Giants,1,0.55183196,0.448168
7003,Colorado Rockies,San Francisco Giants,1,0.58660364,0.4133964
2094,Texas Rangers,Boston Red Sox,0,0.55279577,0.44720423
2902,Philadelphia Phillies,Washington Nationals,0,0.46509236,0.53490764
4220,Los Angeles Angels,Seattle Mariners,0,0.5689705,0.4310295
4571,Pittsburgh Pirates,New York Yankees,1,0.4771729,0.5228271
5181,Milwaukee Brewers,Chicago Cubs,1,0.4096601,0.5903399
7805,Atlanta Braves,Philadelphia Phillies,0,0.36371094,0.63628906
1619,Cleveland Indians,Detroit Tigers,1,0.4392532,0.5607468
4595,Cincinnati Reds,San Francisco Giants,1,0.41332114,0.58667886
3217,St. Louis Cardinals,San Francisco Giants,1,0.5291901,0.47080988
6825,Chicago Cubs,Washington Nationals,1,0.40360695,0.59639305
3694,St. Louis Cardinals,Milwaukee Brewers,1,0.6643722,0.33562776
5858,Detroit Tigers,Toronto Blue Jays,0,0.710894,0.28910604
1089,Los Angeles Dodgers,Atlanta Braves,0,0.45557523,0.5444248
3413,San Francisco Giants,Houston Astros,1,0.46509236,0.53490764
4565,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
2273,Milwaukee Brewers,St. Louis Cardinals,1,0.40360695,0.59639305
6779,New York Mets,Atlanta Braves,1,0.5291901,0.47080988
5888,New York Yankees,Chicago Cubs,1,0.24810123,0.75189877
4544,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
2955,Texas Rangers,Kansas City Royals,1,0.40360695,0.59639305
1223,Los Angeles Dodgers,Tampa Bay Rays,1,0.2271201,0.7728799
8732,Los Angeles Angels,Kansas City Royals,1,0.40360695,0.59639305
496,Los Angeles Angels,Los Angeles Dodgers,0,0.5630064,0.4369936
3872,Arizona Diamondbacks,San Diego Padres,0,0.58660364,0.4133964
3467,Colorado Rockies,Chicago Cubs,0,0.4096601,0.5903399
4511,Houston Astros,Atlanta Braves,0,0.9834805,0.016519513
6745,Detroit Tigers,Tampa Bay Rays,0,0.58660364,0.4133964
2345,Minnesota Twins,Chicago White Sox,0,0.46509236,0.53490764
5574,New York Yankees,Baltimore Orioles,0,0.2202766,0.7797234
2415,San Diego Padres,Seattle Mariners,1,0.28165615,0.71834385
5408,Oakland Athletics,Los Angeles Angels,1,0.5403239,0.4596761
1481,Cincinnati Reds,St. Louis Cardinals,1,0.46509236,0.53490764
2931,Milwaukee Brewers,Colorado Rockies,1,0.40360695,0.59639305
8135,St. Louis Cardinals,Atlanta Braves,0,0.47043538,0.5295646
1954,Atlanta Braves,Arizona Diamondbacks,1,0.40360695,0.59639305
2976,Boston Red Sox,Kansas City Royals,1,0.4096601,0.5903399
8579,Detroit Tigers,Cleveland Guardians,1,0.46509236,0.53490764
6727,San Francisco Giants,Los Angeles Dodgers,0,0.5291901,0.47080988
8052,Washington Nationals,Atlanta Braves,0,0.6643722,0.33562776
3129,Seattle Mariners,New York Yankees,1,0.5059191,0.49408087
1532,San Diego Padres,San Francisco Giants,0,0.40360695,0.59639305
3833,Minnesota Twins,Milwaukee Brewers,1,0.6074066,0.39259335
548,Los Angeles Angels,San Francisco Giants,0,0.21056777,0.7894322
6461,New York Yankees,Boston Red Sox,0,0.40360695,0.59639305
6978,Los Angeles Angels,Seattle Mariners,0,0.58660364,0.4133964
3576,Houston Astros,Colorado Rockies,1,0.24810123,0.75189877
6369,Baltimore Orioles,Los Angeles Angels,1,0.5291901,0.47080988
6904,Colorado Rockies,Arizona Diamondbacks,0,0.50600535,0.49399465
3190,Boston Red Sox,Philadelphia Phillies,0,0.4771729,0.5228271
3570,Cleveland Indians,Oakland Athletics,0,0.5403239,0.4596761
2167,Seattle Mariners,Baltimore Orioles,0,0.5291901,0.47080988
