,home_team,away_team,home_is_winner,away_win_prob,home_win_prob
3130,Milwaukee Brewers,Cincinnati Reds,1,0.44315553,0.5568445
1788,Seattle Mariners,Houston Astros,1,0.43313998,0.56686
1302,Cleveland Indians,Oakland Athletics,1,0.49196666,0.50803334
1587,New York Yankees,Baltimore Orioles,1,0.43818521,0.5618148
8250,Los Angeles Angels,Toronto Blue Jays,0,0.46397108,0.5360289
320,Kansas City Royals,Chicago White Sox,0,0.5921446,0.4078554
3241,Colorado Rockies,Los Angeles Dodgers,1,0.7065915,0.29340848
4073,Atlanta Braves,Colorado Rockies,0,0.45919633,0.5408037
5773,Colorado Rockies,Atlanta Braves,0,0.52164364,0.4783564
4459,Houston Astros,Atlanta Braves,0,0.98771983,0.012280168
3669,Colorado Rockies,San Diego Padres,1,0.523152,0.476848
2696,Oakland Athletics,Arizona Diamondbacks,1,0.25890112,0.7410989
578,Oakland Athletics,Arizona Diamondbacks,1,0.39437497,0.60562503
6322,Chicago White Sox,Detroit Tigers,0,0.21176517,0.78823483
323,San Francisco Giants,Texas Rangers,1,0.4529243,0.5470757
853,Washington Nationals,Atlanta Braves,0,0.47484303,0.525157
2681,Philadelphia Phillies,Atlanta Braves,1,0.41560555,0.58439445
4889,Chicago White Sox,Seattle Mariners,1,0.45686263,0.5431374
966,Chicago Cubs,Minnesota Twins,0,0.419402,0.580598
3062,Atlanta Braves,Miami Marlins,0,0.42180395,0.57819605
8844,Minnesota Twins,Kansas City Royals,1,0.46490127,0.53509873
8864,Chicago White Sox,Tampa Bay Rays,0,0.6957214,0.30427864
8314,San Francisco Giants,Kansas City Royals,1,0.42223865,0.57776135
5193,Kansas City Royals,New York Yankees,0,0.7162,0.2838
3007,Oakland Athletics,Texas Rangers,1,0.36229646,0.63770354
7011,Chicago Cubs,Milwaukee Brewers,1,0.5011966,0.49880338
5792,Chicago Cubs,St. Louis Cardinals,0,0.6014925,0.39850748
7923,Houston Astros,Philadelphia Phillies,1,0.022052824,0.9779472
5663,Detroit Tigers,Cleveland Guardians,0,0.63509077,0.36490923
80,Oakland Athletics,Los Angeles Angels,1,0.3378762,0.6621238
2569,Colorado Rockies,Texas Rangers,1,0.44315553,0.5568445
4525,Houston Astros,Atlanta Braves,0,0.98771983,0.012280168
4962,Seattle Mariners,Houston Astros,1,0.5078609,0.49213913
327,Chicago Cubs,Pittsburgh Pirates,1,0.37316722,0.6268328
1876,Seattle Mariners,Los Angeles Dodgers,0,0.23026496,0.76973504
8036,Los Angeles Dodgers,Arizona Diamondbacks,1,0.27230054,0.72769946
1177,Los Angeles Dodgers,Tampa Bay Rays,1,0.108905554,0.89109445
3211,Arizona Diamondbacks,Chicago Cubs,0,0.5941303,0.40586972
2717,Oakland Athletics,Kansas City Royals,1,0.3892247,0.6107753
5177,Tampa Bay Rays,Minnesota Twins,1,0.427431,0.572569
1654,Pittsburgh Pirates,Chicago Cubs,1,0.43818521,0.5618148
690,Arizona Diamondbacks,San Francisco Giants,0,0.41809398,0.581906
3327,Los Angeles Dodgers,Colorado Rockies,1,0.3156827,0.6843173
1029,Kansas City Royals,Detroit Tigers,1,0.419402,0.580598
8331,Colorado Rockies,Washington Nationals,1,0.45883304,0.54116696
4495,Houston Astros,Atlanta Braves,0,0.98771983,0.012280168
1814,New York Yankees,Tampa Bay Rays,0,0.48912615,0.51087385
4604,Milwaukee Brewers,San Diego Padres,1,0.4092304,0.5907696
7517,Colorado Rockies,San Francisco Giants,0,0.3865555,0.6134445
6855,Houston Astros,Texas Rangers,1,0.529268,0.47073194
1044,St. Louis Cardinals,Milwaukee Brewers,0,0.43537134,0.56462866
1184,Los Angeles Dodgers,Tampa Bay Rays,1,0.108905554,0.89109445
7370,Pittsburgh Pirates,St. Louis Cardinals,0,0.8239441,0.1760559
1175,Los Angeles Dodgers,Tampa Bay Rays,1,0.108905554,0.89109445
1605,Houston Astros,Oakland Athletics,1,0.37762266,0.62237734
4903,Pittsburgh Pirates,Chicago Cubs,1,0.62446,0.37554
95,St. Louis Cardinals,Pittsburgh Pirates,1,0.28565753,0.7143425
6015,Cincinnati Reds,Milwaukee Brewers,0,0.5728184,0.4271816
7731,Los Angeles Dodgers,Colorado Rockies,0,0.5617279,0.43827215
5606,Seattle Mariners,Oakland Athletics,0,0.4540134,0.5459866
8945,Los Angeles Dodgers,St. Louis Cardinals,1,0.25136632,0.7486337
2778,Kansas City Royals,Detroit Tigers,0,0.3463592,0.6536408
1490,San Diego Padres,Arizona Diamondbacks,0,0.58244824,0.41755176
5674,New York Mets,Philadelphia Phillies,1,0.5105165,0.4894835
6616,Kansas City Royals,Los Angeles Angels,0,0.4293821,0.5706179
5618,St. Louis Cardinals,Milwaukee Brewers,0,0.48607534,0.51392466
4730,Detroit Tigers,New York Yankees,0,0.46195596,0.53804404
521,Arizona Diamondbacks,San Diego Padres,1,0.6085829,0.3914171
