,median,mean,range
167,-8.5,-8.27027027027027,278.0
168,-8.5,-8.27027027027027,278.0
178,-8.5,-8.216216216216216,275.0
179,-8.5,-13.945945945945946,572.0
180,-8.5,-8.135135135135135,273.0
181,-8.5,-8.945945945945946,341.0
182,-8.5,-8.837837837837839,324.0
183,-8.5,-9.972972972972974,383.0
184,-8.5,-10.297297297297296,424.0
185,-7.5,-7.972972972972973,249.0
186,-8.5,-9.864864864864865,450.0
187,-8.5,-8.27027027027027,245.0
188,-8.5,-8.27027027027027,245.0
189,-109.5,-37.83783783783784,245.0
190,-109.5,-37.83783783783784,245.0
191,-8.5,-9.54054054054054,375.0
192,-8.5,-9.54054054054054,375.0
193,-8.5,-13.027027027027026,553.0
194,-8.5,-13.027027027027026,553.0
195,-8.5,-8.08108108108108,250.0
196,-8.5,-8.297297297297296,278.0
197,-8.5,-8.297297297297296,278.0
201,-8.5,-8.324324324324325,264.0
202,-8.5,-14.945945945945946,593.0
203,-8.5,-8.54054054054054,271.0
204,-8.5,-9.621621621621621,355.0
205,-8.5,-8.72972972972973,313.0
206,-8.5,-10.432432432432432,387.0
207,-8.5,-11.162162162162161,424.0
208,-7.5,-8.08108108108108,247.0
209,-8.5,-12.162162162162161,483.0
210,-11.0,-8.5,259.0
211,-11.0,-8.5,259.0
212,-8.5,-10.135135135135135,379.0
213,-8.5,-10.135135135135135,379.0
214,-8.5,-15.297297297297296,635.0
215,-8.5,-15.297297297297296,635.0
216,-8.5,-8.162162162162161,250.0
217,-8.5,-8.243243243243244,290.0
218,-8.5,-8.243243243243244,290.0
219,-8.5,-8.243243243243244,279.0
220,-8.5,-9.35135135135135,336.0
221,-8.5,-8.324324324324325,296.0
222,-8.5,-10.027027027027026,378.0
223,-8.5,-11.35135135135135,449.0
224,-8.5,-8.0,245.0
225,-8.5,-11.324324324324325,429.0
226,-9.0,-8.175675675675675,243.0
227,-9.0,-8.175675675675675,243.0
228,-107.0,-53.770270270270274,243.0
229,-107.0,-53.770270270270274,243.0
230,-8.5,-9.621621621621621,362.0
231,-8.5,-9.621621621621621,362.0
232,-8.5,-15.486486486486486,598.0
233,-8.5,-15.486486486486486,598.0
234,-8.5,-8.054054054054054,263.0
235,-8.5,-8.243243243243244,284.0
236,-8.5,-8.243243243243244,284.0
237,-8.5,-12.594594594594595,508.0
238,-8.5,-12.594594594594595,508.0
239,-8.5,-8.216216216216216,291.0
240,-107.5,-21.324324324324323,245.0
241,-8.5,-10.837837837837839,433.0
242,-7.5,-7.972972972972973,253.0
243,-8.5,-9.054054054054054,354.0
244,-8.5,-11.243243243243244,478.0
245,-8.5,-9.91891891891892,412.0
246,-108.5,-16.054054054054053,245.0
247,-108.5,-16.054054054054053,245.0
248,-8.5,-8.378378378378379,312.0
249,-8.5,-8.378378378378379,312.0
250,-8.5,-8.162162162162161,289.0
251,-8.5,-12.486486486486486,521.0
252,-8.5,-12.486486486486486,521.0
253,-8.5,-8.054054054054054,247.0
254,-8.5,-8.054054054054054,247.0
255,-8.5,-8.162162162162161,277.0
256,-8.5,-8.162162162162161,277.0
257,-118.5,-5416.0,100115.0
258,-118.5,-5416.0,100115.0
259,-8.5,-14.378378378378379,657.0
260,-8.5,-8.135135135135135,272.0
261,-8.5,-8.297297297297296,312.0
262,-8.5,-8.27027027027027,299.0
263,-108.5,-26.864864864864863,245.0
264,-106.0,-48.36486486486486,245.0
265,-108.0,-26.85135135135135,245.0
266,-108.0,-26.85135135135135,245.0
267,-5.5,-7.864864864864865,245.0
268,-8.5,-8.64864864864865,304.0
269,-8.5,-9.864864864864865,405.0
270,-8.5,-9.72972972972973,417.0
271,-107.0,-37.608108108108105,245.0
272,-8.5,-8.027027027027026,250.0
273,-8.5,-8.216216216216216,285.0
274,-6.5,-7.918918918918919,245.0
276,-8.5,-8.405405405405405,304.0
277,-8.5,-8.08108108108108,255.0
279,-8.5,-11.45945945945946,488.0
281,-8.5,-8.162162162162161,257.0
282,-8.5,-8.162162162162161,254.0
283,-7.5,-8.08108108108108,249.0
284,-105.0,-37.554054054054056,245.0
285,-105.0,-37.554054054054056,245.0
286,-8.5,-8.35135135135135,304.0
287,-8.5,-8.27027027027027,277.0
288,-8.5,-8.27027027027027,277.0
289,-8.5,-8.567567567567568,320.0
290,-8.5,-8.567567567567568,320.0
291,-8.5,-9.432432432432432,370.0
292,-106.5,-37.729729729729726,245.0
293,-110.0,-37.7972972972973,245.0
294,-8.5,-8.837837837837839,319.0
295,-7.5,-8.08108108108108,245.0
296,-8.5,-8.216216216216216,268.0
297,-8.5,-9.783783783783784,360.0
298,-107.0,-21.41891891891892,245.0
299,-8.5,-8.54054054054054,291.0
300,-8.5,-8.297297297297296,248.0
301,-8.5,-8.297297297297296,248.0
302,-8.5,-8.45945945945946,273.0
303,-8.5,-8.45945945945946,273.0
304,-8.5,-9.513513513513514,337.0
305,-8.5,-11.162162162162161,417.0
307,-108.0,-37.58108108108108,245.0
308,-108.0,-37.58108108108108,245.0
309,-8.5,-8.702702702702704,304.0
310,-8.5,-8.486486486486486,299.0
311,-7.5,-8.135135135135135,248.0
312,-8.5,-8.297297297297296,275.0
314,-8.5,-11.64864864864865,432.0
315,-8.5,-10.675675675675675,388.0
316,-8.5,-10.35135135135135,383.0
317,-8.5,-8.756756756756756,352.0
318,-8.5,-8.243243243243244,266.0
319,-8.5,-9.35135135135135,342.0
320,-8.5,-9.35135135135135,342.0
321,-107.0,-42.95945945945946,245.0
322,-122.5,-5417.135135135135,100182.0
323,-8.5,-8.162162162162161,275.0
324,-8.5,-9.378378378378379,362.0
326,-8.5,-8.27027027027027,268.0
327,-8.5,-8.837837837837839,307.0
328,-8.5,-8.837837837837839,307.0
329,-8.5,-11.108108108108109,429.0
331,-7.5,-8.108108108108109,245.0
332,-7.5,-8.108108108108109,245.0
333,-7.5,-8.08108108108108,245.0
334,-8.5,-9.837837837837839,355.0
335,-8.5,-8.108108108108109,245.0
336,-8.5,-8.108108108108109,245.0
337,-8.5,-8.972972972972974,311.0
338,-8.5,-8.972972972972974,311.0
339,-8.5,-8.513513513513514,287.0
340,-8.5,-8.513513513513514,287.0
341,-8.5,-8.621621621621621,298.0
342,-8.5,-8.621621621621621,298.0
343,-8.5,-8.432432432432432,268.0
344,-8.5,-8.432432432432432,268.0
345,-8.5,-9.783783783783784,370.0
346,-105.0,-53.770270270270274,245.0
347,-8.5,-9.783783783783784,357.0
348,-8.5,-9.783783783783784,357.0
349,-8.5,-10.08108108108108,391.0
350,-8.5,-10.08108108108108,391.0
351,-8.5,-8.08108108108108,250.0
352,-8.5,-8.08108108108108,250.0
353,-8.5,-8.108108108108109,266.0
354,-107.0,-43.2027027027027,245.0
355,-107.0,-43.2027027027027,245.0
356,-8.5,-8.216216216216216,275.0
357,-7.0,-8.094594594594595,245.0
358,-8.5,-8.756756756756756,304.0
359,-8.5,-8.27027027027027,275.0
360,-8.5,-15.18918918918919,569.0
361,-8.5,-9.513513513513514,362.0
362,-8.5,-8.27027027027027,266.0
363,-8.5,-9.27027027027027,322.0
364,-8.5,-8.405405405405405,291.0
365,-8.5,-8.567567567567568,294.0
366,-8.5,-9.837837837837839,351.0
367,-8.5,-8.432432432432432,280.0
368,-8.5,-10.162162162162161,375.0
369,-7.5,-7.945945945945946,245.0
370,-8.5,-10.567567567567568,383.0
371,-8.0,-8.067567567567568,250.0
372,-8.5,-12.108108108108109,429.0
373,-8.5,-8.54054054054054,295.0
374,-8.5,-9.837837837837839,359.0
375,-8.5,-8.35135135135135,263.0
376,-8.5,-8.405405405405405,263.0
377,-8.5,-9.567567567567568,336.0
378,-8.5,-9.567567567567568,336.0
379,-8.5,-8.054054054054054,250.0
380,-8.5,-9.243243243243244,319.0
381,-8.5,-9.243243243243244,319.0
382,-8.5,-8.567567567567568,291.0
383,-8.5,-8.567567567567568,291.0
384,-8.5,-10.91891891891892,420.0
385,-8.5,-10.91891891891892,420.0
386,-8.5,-10.72972972972973,417.0
387,-8.5,-8.72972972972973,310.0
388,-107.0,-15.986486486486486,243.0
389,-8.5,-8.216216216216216,264.0
390,-8.5,-9.18918918918919,329.0
391,-8.5,-9.18918918918919,329.0
392,-7.5,-8.108108108108109,251.0
393,-8.5,-8.324324324324325,287.0
394,-8.5,-8.324324324324325,287.0
395,-8.5,-9.513513513513514,336.0
396,-8.5,-9.513513513513514,336.0
397,-105.0,-48.25675675675676,243.0
398,-108.0,-37.71621621621622,243.0
400,-8.5,-9.0,315.0
401,-8.5,-9.0,315.0
402,-8.5,-9.216216216216216,329.0
403,-8.5,-9.216216216216216,329.0
404,-9.0,-8.283783783783784,247.0
405,-106.0,-48.2027027027027,243.0
406,-106.0,-48.2027027027027,243.0
407,-8.0,-8.04054054054054,245.0
408,-8.0,-8.04054054054054,245.0
409,-108.0,-53.87837837837838,243.0
410,-108.0,-53.87837837837838,243.0
411,-106.5,-48.567567567567565,243.0
412,-8.5,-14.0,488.0
413,-8.5,-10.054054054054054,355.0
414,-110.0,-59.63513513513514,243.0
415,-110.0,-59.63513513513514,243.0
416,-122.5,-5417.108108108108,100155.0
417,-122.5,-5417.108108108108,100155.0
418,-118.5,-5415.945945945946,100115.0
419,-8.5,-9.27027027027027,317.0
420,-8.5,-9.27027027027027,317.0
421,-122.5,-5416.216216216216,100130.0
422,-122.5,-5416.216216216216,100130.0
423,-8.5,-16.81081081081081,593.0
424,-8.5,-16.81081081081081,593.0
425,-6.0,-8.094594594594595,245.0
426,-6.0,-8.094594594594595,245.0
427,-8.5,-10.216216216216216,371.0
428,-122.5,-5416.513513513513,100130.0
429,-122.5,-5416.513513513513,100130.0
430,-107.0,-37.7972972972973,245.0
431,-107.0,-21.716216216216218,245.0
432,-8.5,-8.135135135135135,256.0
433,-8.5,-8.837837837837839,304.0
434,-8.5,-12.08108108108108,460.0
435,-8.5,-8.513513513513514,299.0
436,-8.5,-9.108108108108109,336.0
437,-109.0,-16.06756756756757,245.0
438,-8.0,-8.094594594594595,245.0
439,-8.5,-16.7027027027027,603.0
440,-8.5,-16.7027027027027,603.0
441,-8.5,-8.81081081081081,314.0
442,-8.5,-8.81081081081081,314.0
443,-8.5,-9.405405405405405,337.0
444,-8.5,-9.405405405405405,337.0
445,-8.5,-8.864864864864865,304.0
446,-8.5,-8.864864864864865,304.0
447,-7.5,-7.891891891891892,243.0
448,-108.0,-32.2027027027027,243.0
449,-8.5,-8.35135135135135,266.0
450,-8.5,-9.35135135135135,327.0
451,-8.5,-8.108108108108109,248.0
452,-122.5,-5417.027027027027,100160.0
453,-8.5,-9.18918918918919,330.0
454,-8.5,-10.135135135135135,372.0
455,-122.0,-5416.527027027027,100138.0
456,-8.5,-10.108108108108109,347.0
457,-8.5,-8.513513513513514,279.0
458,-108.0,-32.310810810810814,243.0
459,-108.5,-53.83783783783784,243.0
460,-108.5,-53.83783783783784,243.0
461,-8.5,-8.405405405405405,301.0
462,-8.5,-8.837837837837839,316.0
