,home_is_winner,lowvig_home_vf,lowvig_away_vf,pinnacle_home_vf,pinnacle_away_vf,unibet_home_vf,unibet_away_vf,betonlineag_home_vf,betonlineag_away_vf,sport888_home_vf,sport888_away_vf,draftkings_home_vf,draftkings_away_vf,pointsbetus_home_vf,pointsbetus_away_vf,gtbets_home_vf,gtbets_away_vf,max_min_diff_home_vf,max_min_diff_away_vf
4588,0,0.45980329491329713,0.5401967050867028,0.461884154460719,0.5381158455392809,0.457185464249274,0.5428145357507259,0.45980329491329713,0.5401967050867028,0.46391752577319584,0.5360824742268041,0.4572564612326044,0.5427435387673957,0.4556166535742341,0.5443833464257659,0.45980329491329713,0.5401967050867028,0.011915813958233434,0.011915813958233379
4595,1,0.5675103560283946,0.4324896439716052,0.5638051044083527,0.4361948955916473,0.552982006111132,0.44701799388886787,0.5675103560283946,0.4324896439716052,0.552982006111132,0.44701799388886787,0.552594002855783,0.447405997144217,0.5711159737417943,0.42888402625820565,0.5675103560283946,0.4324896439716052,0.022049955194123116,0.022049955194123227
4599,0,0.5675103560283946,0.4324896439716052,0.5638051044083527,0.4361948955916473,0.552982006111132,0.44701799388886787,0.5675103560283946,0.4324896439716052,0.552982006111132,0.44701799388886787,0.552594002855783,0.447405997144217,0.5711159737417943,0.42888402625820565,0.5675103560283946,0.4324896439716052,0.022049955194123116,0.022049955194123227
4600,1,0.6083086053412463,0.39169139465875374,0.6092593688946777,0.39074063110532237,0.6031569090828021,0.3968430909171981,0.6083086053412463,0.39169139465875374,0.6031569090828021,0.3968430909171981,0.6109906001446131,0.38900939985538685,0.6092362344582594,0.39076376554174075,0.6063931297709924,0.39360687022900764,0.018807126414629005,0.018807126414629227
4601,1,0.5381158455392809,0.461884154460719,0.5307993629202359,0.46920063707976417,0.5366306721917165,0.46336932780828344,0.5381158455392809,0.461884154460719,0.5366306721917165,0.46336932780828344,0.5324675324675325,0.4675324675324675,0.5443833464257659,0.4556166535742341,0.5381158455392809,0.461884154460719,0.02010218980766587,0.020102189807665816
4602,0,0.5736776932602158,0.42632230673978416,0.5726116795828974,0.4273883204171026,0.5802485457429931,0.41975145425700683,0.5740354444580784,0.4259645555419216,0.5770485120260905,0.4229514879739095,0.5711159737417943,0.42888402625820565,0.5823742190069057,0.4176257809930944,0.5747384023574668,0.42526159764253313,0.014590913881199041,0.014590913881198875
4603,0,0.5443037974683544,0.45569620253164556,0.5381158455392809,0.461884154460719,0.5443833464257659,0.4556166535742341,0.5443037974683544,0.45569620253164556,0.5443833464257659,0.4556166535742341,0.5324675324675325,0.4675324675324675,0.5443833464257659,0.4556166535742341,0.5443037974683544,0.45569620253164556,0.017395301271503794,0.017395301271503905
4604,0,0.49070156678599663,0.5092984332140034,0.48821509495666804,0.511784905043332,0.5021949078138718,0.4978050921861282,0.489612188365651,0.5103878116343491,0.50336262553802,0.4966373744619799,0.4891657638136511,0.5108342361863488,0.4891657638136511,0.5108342361863488,0.49070156678599663,0.5092984332140034,0.016064704059959967,0.016064704059960022
4605,0,0.461884154460719,0.5381158455392809,0.46374367622259693,0.536256323777403,0.46336932780828344,0.5366306721917165,0.461884154460719,0.5381158455392809,0.46391752577319584,0.5360824742268041,0.4675324675324675,0.5324675324675325,0.4675324675324675,0.5324675324675325,0.461884154460719,0.5381158455392809,0.019323671497584627,0.019323671497584516
4606,1,0.5162468054034319,0.4837531945965681,0.5023568230025924,0.49764317699740745,0.5198237885462554,0.48017621145374445,0.5162468054034319,0.4837531945965681,0.5198237885462554,0.48017621145374445,0.5217391304347826,0.4782608695652174,0.5217391304347826,0.4782608695652174,0.5162468054034319,0.4837531945965681,0.035471990418695976,0.03547199041869581
4607,0,0.5914396887159533,0.40856031128404674,0.5864680384634547,0.41353196153654526,0.5981699425097071,0.4018300574902929,0.5926876202694035,0.40731237973059653,0.5981699425097071,0.4018300574902929,0.5791786378232212,0.42082136217677873,0.5985401459854015,0.40145985401459855,0.5934434692823954,0.40655653071760456,0.024384700204085452,0.024384700204085452
4609,1,0.4825200291332848,0.5174799708667153,0.4825200291332848,0.5174799708667153,0.4846032025338729,0.515396797466127,0.48167822094174845,0.5183217790582515,0.4846032025338729,0.515396797466127,0.4891657638136511,0.5108342361863488,0.4782608695652174,0.5217391304347826,0.48044542229805576,0.5195545777019441,0.010904894248433716,0.010904894248433772
4610,0,0.6921645130114186,0.30783548698858143,0.6928352025144653,0.30716479748553466,0.6919290503267419,0.30807094967325804,0.6921645130114186,0.30783548698858143,0.6923076923076924,0.3076923076923077,0.6868402533427165,0.31315974665728363,0.6868402533427165,0.31315974665728363,0.6852929337285468,0.3147070662714531,0.027912604766267002,0.02791260476626689
4611,1,0.5874888174679435,0.4125111825320566,0.5820501539815222,0.4179498460184778,0.5903674280039722,0.4096325719960278,0.5874888174679435,0.4125111825320566,0.5844784714042665,0.4155215285957335,0.5791786378232212,0.42082136217677873,0.5917728943458199,0.40822710565418,0.5885045694171308,0.41149543058286925,0.023036353967266443,0.02303635396726622
4612,0,0.5471954041330886,0.45280459586691135,0.5514636449480642,0.4485363550519358,0.5467333541731791,0.45326664582682086,0.5471954041330886,0.45280459586691135,0.5450949367088608,0.4549050632911393,0.552594002855783,0.447405997144217,0.5443833464257659,0.4556166535742341,0.5471954041330886,0.45280459586691135,0.021460191505201176,0.02146019150520123
4613,1,0.6250852079072937,0.37491479209270623,0.6166125078387776,0.38338749216122225,0.6077300259590424,0.3922699740409576,0.6269953742078666,0.37300462579213356,0.6106275767292716,0.3893724232707283,0.6109906001446131,0.38900939985538685,0.6159669649002064,0.38403303509979353,0.624188588998975,0.37581141100102494,0.0380397720373048,0.03803977203730469
4615,0,0.5443037974683544,0.45569620253164556,0.5413598782444161,0.45864012175558383,0.5366306721917165,0.46336932780828344,0.5443037974683544,0.45569620253164556,0.5360824742268041,0.46391752577319584,0.5427435387673957,0.4572564612326044,0.5443833464257659,0.4556166535742341,0.5443037974683544,0.45569620253164556,0.026153317224581474,0.026153317224581474
4616,1,0.6574416298566664,0.3425583701433336,0.6496212121212122,0.3503787878787879,0.6571490374215877,0.3428509625784123,0.6574416298566664,0.3425583701433336,0.6558170222124478,0.34418297778755225,0.65,0.35000000000000003,0.658753709198813,0.34124629080118696,0.6550628602550719,0.34493713974492807,0.02372795441436082,0.023727954414360874
