,game_id,home_team,away_team,home_is_winner,home_odds,away_odds,home_implied_prob,away_implied_prob,home_win_prob,away_win_prob,homediff,awaydiff,bethome,betaway,bet_amount,bet_net,bankroll
86,97d9e86b68d5033f37c6a6030efcf641,Washington Nationals,Atlanta Braves,0,228.0,-255.0,0.3048780487804878,0.7183098591549296,0.3949719965457916,0.6050280034542084,0.09009394776530383,-0.11328185570072125,True,False,50.0,-50.0,950.0
87,23ba8d74e9daa33d7da478f18f8e58a4,New York Yankees,San Francisco Giants,1,-176.0,162.0,0.6376811594202898,0.3816793893129771,0.6720146477222443,0.3279853522777557,0.034333488301954485,-0.05369403703522141,True,False,47.5,74.48863636363637,1024.4886363636365
88,f2912049aeca157ded4e77586ad96b6f,Boston Red Sox,Baltimore Orioles,0,-119.0,109.0,0.54337899543379,0.4784688995215311,0.6140967309474945,0.3859032690525055,0.07071773551370453,-0.0925656304690256,True,False,51.22443181818183,-51.22443181818183,973.2642045454546
89,2d36dc1a2de91bd8dc15c9d544f9f5a0,Chicago Cubs,Milwaukee Brewers,1,130.0,-141.0,0.4347826086956521,0.5850622406639004,0.4914048373699188,0.5085951626300812,0.056622228674266695,-0.07646707803381925,True,False,48.663210227272735,111.92538352272729,1085.1895880681818
90,53e0cd370c0af094e354e4b64cf6ada1,Tampa Bay Rays,Detroit Tigers,1,-230.0,208.0,0.696969696969697,0.3246753246753247,0.7023033499717712,0.2976966500282287,0.0053336530020742234,-0.026978674647095968,False,False,0.0,0.0,1085.1895880681818
91,c242048b2420a0eb53fe951109099db2,Texas Rangers,Philadelphia Phillies,1,-130.0,120.0,0.5652173913043478,0.4545454545454545,0.5985258102416993,0.4014741897583008,0.03330841893735148,-0.05307126478715368,True,False,54.259479403409095,95.99754048295455,1181.1871285511363
92,cfe893abe7a8c4f2275864f05423bba2,Cincinnati Reds,Pittsburgh Pirates,0,-133.0,123.0,0.5708154506437768,0.4484304932735426,0.5985258102416993,0.4014741897583008,0.02771035959792245,-0.046956303515241826,True,False,59.05935642755682,-59.05935642755682,1122.1277721235795
93,f6b17166f9f6f8fb2225a700865d33d1,Kansas City Royals,Minnesota Twins,0,140.0,-152.0,0.4166666666666667,0.6031746031746031,0.3815809547901153,0.6184190452098847,-0.035085711876551406,0.015244442035281525,False,False,0.0,0.0,1122.1277721235795
94,cb499bb91e7c931593beea3335b90578,Miami Marlins,New York Mets,0,112.0,-122.0,0.4716981132075472,0.5495495495495496,0.5765905618667603,0.4234094381332397,0.1048924486592131,-0.12614011141630987,True,False,56.106388606178974,-56.106388606178974,1066.0213835174004
95,882e380b04765fa81bd5c4f1087c479e,St. Louis Cardinals,Toronto Blue Jays,0,107.0,-117.0,0.4830917874396135,0.5391705069124424,0.556377500295639,0.4436224997043609,0.07328571285602553,-0.09554800720808149,True,False,53.301069175870026,-53.301069175870026,1012.7203143415304
96,7de9dad87118ee281e48da1d8d6ed181,Houston Astros,Chicago White Sox,0,-155.0,143.0,0.6078431372549019,0.411522633744856,0.6600375890731811,0.3399624109268188,0.0521944518182792,-0.0715602228180372,True,False,50.636015717076525,-50.636015717076525,962.0842986244539
97,c6eec130ca93a016347f5df664919f77,San Diego Padres,Colorado Rockies,0,-210.0,192.0,0.6774193548387096,0.3424657534246575,0.6583494126796723,0.3416505873203277,-0.019069942159037345,-0.0008151661043298009,False,False,0.0,0.0,962.0842986244539
98,12bb4f27b059b0b926b52f20d9574914,Oakland Athletics,Los Angeles Angels,1,192.0,-210.0,0.3424657534246575,0.6774193548387096,0.4022014081478119,0.5977985918521881,0.0597356547231544,-0.07962076298652154,True,False,48.1042149312227,140.4643075991703,1102.5486062236241
99,ba85145c230b19c9c9af4e6cfc8584df,Los Angeles Dodgers,Arizona Diamondbacks,1,-165.0,152.0,0.6226415094339622,0.3968253968253968,0.6687628984451294,0.3312371015548706,0.046121389011167135,-0.06558829527052618,True,False,55.12743031118121,88.53799413613952,1191.0866003597637
100,671e5fd42a321195af770e20bb6c093e,Seattle Mariners,Cleveland Guardians,1,-117.0,107.0,0.5391705069124424,0.4830917874396135,0.6273418605327606,0.3726581394672393,0.08817135362031825,-0.1104336479723742,True,False,59.554330017988185,110.45546678549945,1301.5420671452632
101,1455ddfcf0f94fb5d348a4aa223fc798,Miami Marlins,New York Mets,1,104.0,-114.0,0.4901960784313725,0.5327102803738317,0.6028292953968049,0.3971707046031952,0.11263321696543238,-0.13553957577063652,True,False,65.07710335726317,132.75729084881687,1434.29935799408
103,f966cfcbe459a1a6b4ea49dc65ed5f25,Houston Astros,Chicago White Sox,1,-155.0,143.0,0.6078431372549019,0.411522633744856,0.6590124130249023,0.3409875869750977,0.05116927577000041,-0.0705350467697583,True,False,71.714967899704,117.9826891253195,1552.2820471193995
104,7cdf5f141c30be44e268ef5bc97097ae,San Diego Padres,Colorado Rockies,0,-185.0,170.0,0.6491228070175439,0.3703703703703703,0.6332803070545197,0.3667196929454803,-0.015842499963024226,-0.003650677424890003,False,False,0.0,0.0,1552.2820471193995
105,f425fc3f814ccff26d82d300b5a8b87d,Los Angeles Dodgers,Arizona Diamondbacks,0,-186.0,171.0,0.6503496503496503,0.3690036900369003,0.6332803070545197,0.3667196929454803,-0.017069343295130657,-0.0022839970914200203,False,False,0.0,0.0,1552.2820471193995
106,db7d886360e87493ff57669cff37880a,Seattle Mariners,Cleveland Guardians,0,-161.0,148.0,0.6168582375478927,0.4032258064516129,0.6522861123085022,0.3477138876914978,0.03542787476060949,-0.055511918760115075,True,False,77.61410235596998,-77.61410235596998,1474.6679447634297
