,bankroll_totals
1,1428.1331152121222
2,1649.8243230903536
3,1162.0279857286735
4,1603.7487567687447
5,1511.86408703048
6,1560.3121760272895
7,1717.7994733610874
8,1908.2590702772561
9,1992.5767018905347
10,3011.0882474840478
11,1872.7133353295299
12,1938.1095565173566
13,2091.2670001535394
14,1810.5335074931688
15,1778.2687699585179
16,2348.159929444161
17,1656.1334840094235
18,1669.121545810947
19,1837.5445984238022
20,2100.5789733758465
21,1666.577435702485
22,1963.9498528037782
23,2229.16719917871
24,2111.858853473424
25,1573.784436734151
26,1907.870445465606
27,2019.7038898745204
28,2720.9183887116474
29,1638.283719505937
30,1253.0147486239705
31,2195.199575736029
32,1722.4226981845131
33,1646.9114974405943
34,3308.606143295699
35,1280.6333890168548
36,2735.8171357544015
37,2483.078381307328
38,1784.865228673772
39,1863.821835006519
40,1506.9813688916086
41,2243.404167674639
42,1853.262089904318
43,1525.6086639571115
44,2511.286441138445
45,1547.8137143200056
46,2525.9486470702095
47,1482.7297158689842
48,1865.2042435435465
49,1290.6919162977947
50,1784.41181844166
51,1633.3498506384258
52,2045.0080422595115
53,2217.2127029268177
54,2138.8016637690034
55,1468.5210459604314
56,2139.8493995811177
57,1983.3649942104068
58,2230.9344337600664
59,1986.1629753848938
60,1662.0812780285396
61,1378.29685362259
62,2216.966393871334
63,1907.8916455067167
64,1930.5221367518297
65,2146.836030080431
66,2225.8169187517287
67,2132.7115293410907
68,2232.9671145513166
69,1690.4401776071645
70,1998.1995490293853
71,2316.2168444524013
72,2708.17173875401
73,2253.139995958932
74,1480.7813550858743
75,2492.7747065920844
76,1945.3159492447815
77,2018.150212976028
78,1456.4869315573328
79,2092.016728986593
80,2152.4711080044235
81,2167.0839496606022
82,1880.631277700943
83,1718.1739053521812
84,1775.0766162790662
85,2242.8160537536774
86,1510.7655155182235
87,1693.089697952073
88,2509.446178242652
89,2448.526596241969
90,1943.8837601901432
91,1703.0197747993082
92,1367.4122719774136
93,1891.3667008359246
94,1950.0750350339692
95,1218.2950823700328
96,1423.1979782399842
97,2237.6720717394783
98,1934.6904221643626
99,1507.366847857752
100,1904.7187598218848
