,Date,Team,2023,Last 3,Last 1,Home,Away,2022
0,2023-03-30,NY Mets,--,--,--,--,--,3.77
1,2023-03-30,Boston,--,--,--,--,--,4.86
2,2023-03-30,Oakland,--,--,--,--,--,4.75
3,2023-03-30,Cleveland,--,--,--,--,--,3.88
4,2023-03-30,Colorado,--,--,--,--,--,5.39
5,2023-03-30,Cincinnati,--,--,--,--,--,5.03
6,2023-03-30,Miami,--,--,--,--,--,4.17
7,2023-03-30,Toronto,--,--,--,--,--,4.23
8,2023-03-30,LA Angels,--,--,--,--,--,4.12
9,2023-03-30,Chi Sox,--,--,--,--,--,4.43
10,2023-03-30,SF Giants,--,--,--,--,--,4.30
11,2023-03-30,Milwaukee,--,--,--,--,--,4.25
12,2023-03-30,Chi Cubs,--,--,--,--,--,4.51
13,2023-03-30,Philadelphia,--,--,--,--,--,4.15
14,2023-03-30,Baltimore,--,--,--,--,--,4.25
15,2023-03-30,Detroit,--,--,--,--,--,4.40
16,2023-03-30,Arizona,--,--,--,--,--,4.57
17,2023-03-30,Pittsburgh,--,--,--,--,--,5.04
18,2023-03-30,Washington,--,--,--,--,--,5.28
19,2023-03-30,NY Yankees,--,--,--,--,--,3.50
20,2023-03-30,Texas,--,--,--,--,--,4.59
21,2023-03-30,Kansas City,--,--,--,--,--,5.00
22,2023-03-30,LA Dodgers,--,--,--,--,--,3.18
23,2023-03-30,Houston,--,--,--,--,--,3.17
24,2023-03-30,Atlanta,--,--,--,--,--,3.81
25,2023-03-30,Tampa Bay,--,--,--,--,--,3.76
26,2023-03-30,Seattle,--,--,--,--,--,3.86
27,2023-03-30,Minnesota,--,--,--,--,--,4.22
28,2023-03-30,San Diego,--,--,--,--,--,4.05
29,2023-03-30,St. Louis,--,--,--,--,--,3.93
30,2023-03-31,Chi Cubs,0.00,0.00,0.00,0.00,--,4.51
31,2023-03-31,NY Yankees,0.00,0.00,0.00,0.00,--,3.50
32,2023-03-31,Tampa Bay,0.00,0.00,0.00,0.00,--,3.76
33,2023-03-31,Seattle,0.00,0.00,0.00,0.00,--,3.86
